scenario_id,locality_id,locality_name,parking_count,average_acquisition_score,high_priority_count,expected_monthly_platform_revenue_inr,scenario_locality_rank,base_locality_rank,base_average_acquisition_score,locality_rank_change_vs_base,locality_score_change_vs_base
2,17,Indirapuram,6,29.17955866258745,0,48795.4402731747,17,17,29.547912136907694,0,-0.3683534743202443
1,2,Nehru Place,11,65.6917891407929,9,1828740.181030414,1,1,65.6917891407929,0,0.0
1,1,Connaught Place,11,63.388989258901034,7,1385431.2139860475,2,2,63.388989258901034,0,0.0
1,6,Karol Bagh,10,56.42829264857056,4,743917.914279644,3,3,56.42829264857056,0,0.0
1,7,Lajpat Nagar,6,56.4128638583879,2,315896.3788120991,4,4,56.4128638583879,0,0.0
1,11,Golf Course Road,5,48.56552802651301,2,203344.87975935225,5,5,48.56552802651301,0,0.0
1,4,Dwarka Sector 21,3,43.9051251503458,0,50529.39714153801,6,6,43.9051251503458,0,0.0
1,14,Noida Sector 62,4,43.4215328199006,1,126238.61667964348,7,7,43.4215328199006,0,0.0
1,5,Rajouri Garden,5,42.318946320984836,0,103276.52379229123,8,8,42.318946320984836,0,0.0
1,19,Faridabad Sector 15,5,41.09416512475504,0,133461.92701161496,9,9,41.09416512475504,0,0.0
1,3,Saket,10,39.87186325133635,0,274658.01704927604,10,10,39.87186325133635,0,0.0
1,13,Noida Sector 18,4,38.08875782274635,0,62267.77132654982,11,11,38.08875782274635,0,0.0
1,10,Sector 29 Gurugram,10,35.72473111378084,0,215690.4044574089,12,12,35.72473111378084,0,0.0
1,16,Botanical Garden Noida,5,35.5091970064129,0,56046.73062686583,13,13,35.5091970064129,0,0.0
1,9,DLF Cyber City,10,34.20076236769797,0,263349.6514233608,14,14,34.20076236769797,0,0.0
1,8,Vasant Kunj,5,32.238295672899824,0,42827.1549273755,15,15,32.238295672899824,0,0.0
1,12,Udyog Vihar,10,31.266914660341182,0,198000.5210187052,16,16,31.266914660341182,0,0.0
1,17,Indirapuram,6,29.547912136907694,0,48795.4402731747,17,17,29.547912136907694,0,0.0
3,2,Nehru Place,11,64.53700558566923,9,1828740.181030414,1,1,65.6917891407929,0,-1.1547835551236716
3,1,Connaught Place,11,62.462865360796854,7,1385431.2139860475,2,2,63.388989258901034,0,-0.92612389810418
3,6,Karol Bagh,10,54.58481431694268,4,743917.914279644,3,3,56.42829264857056,0,-1.8434783316278784
3,7,Lajpat Nagar,6,54.1286030791748,2,315896.3788120991,4,4,56.4128638583879,0,-2.284260779213099
3,11,Golf Course Road,5,45.54716824912462,2,203344.87975935225,5,5,48.56552802651301,0,-3.0183597773883903
3,14,Noida Sector 62,4,40.64808286879854,0,126238.61667964348,6,7,43.4215328199006,1,-2.7734499511020587
3,4,Dwarka Sector 21,3,40.323875150345806,0,50529.39714153801,7,6,43.9051251503458,-1,-3.581249999999997
3,5,Rajouri Garden,5,40.02270040262431,0,103276.52379229123,8,8,42.318946320984836,0,-2.296245918360526
3,3,Saket,10,38.27397888880164,0,274658.01704927604,9,10,39.87186325133635,1,-1.5978843625347068
3,19,Faridabad Sector 15,5,38.268123117578746,0,133461.92701161496,10,9,41.09416512475504,-1,-2.826042007176298
3,13,Noida Sector 18,4,35.41544733581005,0,62267.77132654982,11,11,38.08875782274635,0,-2.673310486936302
3,10,Sector 29 Gurugram,10,33.90172005725645,0,215690.4044574089,12,12,35.72473111378084,0,-1.823011056524393
3,16,Botanical Garden Noida,5,33.04973178853239,0,56046.73062686583,13,13,35.5091970064129,0,-2.4594652178805063
3,9,DLF Cyber City,10,32.895620926666126,0,263349.6514233608,14,14,34.20076236769797,0,-1.305141441031843
3,8,Vasant Kunj,5,29.80353667435089,0,42827.1549273755,15,15,32.238295672899824,0,-2.434758998548933
3,12,Udyog Vihar,10,29.64339126820988,0,198000.5210187052,16,16,31.266914660341182,0,-1.6235233921313004
3,17,Indirapuram,6,28.217672847873583,0,48795.4402731747,17,17,29.547912136907694,0,-1.330239289034111
4,2,Nehru Place,11,59.88402404615929,8,1136391.1979716232,1,1,65.6917891407929,0,-5.807765094633616
4,1,Connaught Place,11,57.57152310268137,6,854168.8380178781,2,2,63.388989258901034,0,-5.817466156219666
4,7,Lajpat Nagar,6,51.53686101934153,2,194583.14755425075,3,4,56.4128638583879,1,-4.876002839046372
4,6,Karol Bagh,10,50.25734216118838,4,457925.5386485808,4,3,56.42829264857056,-1,-6.1709504873821786
4,11,Golf Course Road,5,43.921252960555464,0,118224.7130920874,5,5,48.56552802651301,0,-4.644275065957544
4,14,Noida Sector 62,4,39.01655081913722,0,73395.13173754471,6,7,43.4215328199006,1,-4.4049820007633755
4,4,Dwarka Sector 21,3,38.802475094692745,0,29377.791498090195,7,6,43.9051251503458,-1,-5.102650055653058
4,5,Rajouri Garden,5,37.087828364037286,0,60044.97093283813,8,8,42.318946320984836,0,-5.23111795694755
4,19,Faridabad Sector 15,5,36.7990038142589,0,77594.76436455292,9,9,41.09416512475504,0,-4.295161310496141
4,3,Saket,10,34.81104509694529,0,159686.17111244908,10,10,39.87186325133635,0,-5.0608181543910575
4,13,Noida Sector 18,4,33.2406313814264,0,36551.75682411522,11,11,38.08875782274635,0,-4.848126441319955
4,10,Sector 29 Gurugram,10,31.71378552353143,0,125402.40115153752,12,12,35.72473111378084,0,-4.01094559024941
4,16,Botanical Garden Noida,5,31.273463578585392,0,32585.56918645979,13,13,35.5091970064129,0,-4.235733427827505
4,9,DLF Cyber City,10,30.261476918759055,0,155224.87174311053,14,14,34.20076236769797,0,-3.939285448938911
4,8,Vasant Kunj,5,28.560348411677033,0,24899.70787477611,15,15,32.238295672899824,0,-3.6779472612227906
4,12,Udyog Vihar,10,27.890567461328793,0,115889.28246712252,16,16,31.266914660341182,0,-3.3763471990123897
4,17,Indirapuram,6,26.022891262354552,0,28369.668974823777,17,17,29.547912136907694,0,-3.5250208745531424
7,2,Nehru Place,11,65.50525600388927,9,1828740.181030414,1,1,65.6917891407929,0,-0.186533136903634
7,1,Connaught Place,11,63.613120966181754,7,1385431.2139860475,2,2,63.388989258901034,0,0.2241317072807191
7,6,Karol Bagh,10,58.04107892555993,4,743917.914279644,3,3,56.42829264857056,0,1.6127862769893682
7,7,Lajpat Nagar,6,55.91521689687318,2,315896.3788120991,4,4,56.4128638583879,0,-0.4976469615147181
7,11,Golf Course Road,5,46.078984662018435,2,203344.87975935225,5,5,48.56552802651301,0,-2.4865433644945725
7,4,Dwarka Sector 21,3,42.96409184080781,0,50529.39714153801,6,6,43.9051251503458,0,-0.9410333095379996
7,5,Rajouri Garden,5,41.13358998323817,0,103276.52379229123,7,8,42.318946320984836,1,-1.1853563377466685
7,14,Noida Sector 62,4,41.05069389002894,0,126238.61667964348,8,7,43.4215328199006,-1,-2.3708389298716597
7,19,Faridabad Sector 15,5,38.766231683085635,0,133461.92701161496,9,9,41.09416512475504,0,-2.3279334416694084
7,13,Noida Sector 18,4,37.81030810287147,0,62267.77132654982,10,11,38.08875782274635,1,-0.2784497198748852
7,3,Saket,10,37.22317706565325,0,274658.01704927604,11,10,39.87186325133635,-1,-2.648686185683097
7,16,Botanical Garden Noida,5,34.60160978424198,0,56046.73062686583,12,13,35.5091970064129,1,-0.9075872221709176
7,10,Sector 29 Gurugram,10,34.012667369509394,0,215690.4044574089,13,12,35.72473111378084,-1,-1.7120637442714468
7,9,DLF Cyber City,10,31.4651416373644,0,263349.6514233608,14,14,34.20076236769797,0,-2.7356207303335687
7,8,Vasant Kunj,5,30.472377569979905,0,42827.1549273755,15,15,32.238295672899824,0,-1.765918102919919
7,12,Udyog Vihar,10,28.512058162686586,0,198000.5210187052,16,16,31.266914660341182,0,-2.7548564976546004
7,17,Indirapuram,6,27.48542719975167,0,48795.4402731747,17,17,29.547912136907694,0,-2.062484937156025
8,2,Nehru Place,11,62.72568861202583,9,1828740.181030414,1,1,65.6917891407929,0,-2.966100528767079
8,1,Connaught Place,11,60.175441465390946,8,1385431.2139860475,2,2,63.388989258901034,0,-3.213547793510088
8,7,Lajpat Nagar,6,59.22380110761267,2,315896.3788120991,3,4,56.4128638583879,1,2.8109372492247715
8,6,Karol Bagh,10,55.04905514952052,4,743917.914279644,4,3,56.42829264857056,-1,-1.379237499050042
8,11,Golf Course Road,5,54.02867008517579,3,203344.87975935225,5,5,48.56552802651301,0,5.463142058662783
8,4,Dwarka Sector 21,3,49.51888159402059,0,50529.39714153801,6,6,43.9051251503458,0,5.613756443674788
8,14,Noida Sector 62,4,48.08881163979868,2,126238.61667964348,7,7,43.4215328199006,0,4.66727881989808
8,19,Faridabad Sector 15,5,47.1243647941894,1,133461.92701161496,8,9,41.09416512475504,1,6.030199669434353
8,5,Rajouri Garden,5,45.83770244920363,0,103276.52379229123,9,8,42.318946320984836,-1,3.518756128218797
8,3,Saket,10,42.71597536385418,0,274658.01704927604,10,10,39.87186325133635,0,2.844112112517827
8,13,Noida Sector 18,4,41.65456424291704,1,62267.77132654982,11,11,38.08875782274635,0,3.565806420170688
8,10,Sector 29 Gurugram,10,40.19616137876038,1,215690.4044574089,12,12,35.72473111378084,0,4.4714302649795385
8,16,Botanical Garden Noida,5,39.872503180315775,0,56046.73062686583,13,13,35.5091970064129,0,4.363306173902878
8,8,Vasant Kunj,5,37.927636278740714,0,42827.1549273755,14,15,32.238295672899824,1,5.68934060584089
8,9,DLF Cyber City,10,37.256182129932014,0,263349.6514233608,15,14,34.20076236769797,-1,3.0554197622340453
8,12,Udyog Vihar,10,35.36652170814473,0,198000.5210187052,16,16,31.266914660341182,0,4.0996070478035485
8,17,Indirapuram,6,34.7504039736501,0,48795.4402731747,17,17,29.547912136907694,0,5.202491836742407
9,2,Nehru Place,11,64.59757513532455,9,1828740.181030414,1,1,65.6917891407929,0,-1.0942140054683591
9,1,Connaught Place,11,62.4657865631636,7,1385431.2139860475,2,2,63.388989258901034,0,-0.9232026957374302
9,7,Lajpat Nagar,6,58.06447436482415,2,315896.3788120991,3,4,56.4128638583879,1,1.6516105064362492
9,6,Karol Bagh,10,55.34536095322609,4,743917.914279644,4,3,56.42829264857056,-1,-1.0829316953444703
9,11,Golf Course Road,5,51.267323117879904,2,203344.87975935225,5,5,48.56552802651301,0,2.701795091366897
9,14,Noida Sector 62,4,46.093329571669166,2,126238.61667964348,6,7,43.4215328199006,1,2.671796751768568
9,4,Dwarka Sector 21,3,45.378049877042855,0,50529.39714153801,7,6,43.9051251503458,-1,1.4729247266970518
9,5,Rajouri Garden,5,44.592089438711234,0,103276.52379229123,8,8,42.318946320984836,0,2.2731431177263985
9,19,Faridabad Sector 15,5,44.25131041903199,0,133461.92701161496,9,9,41.09416512475504,0,3.157145294276944
9,3,Saket,10,43.08371018536245,0,274658.01704927604,10,10,39.87186325133635,0,3.2118469340260987
9,13,Noida Sector 18,4,39.068046774018526,0,62267.77132654982,11,11,38.08875782274635,0,0.9792889512721744
9,10,Sector 29 Gurugram,10,38.33016912142039,0,215690.4044574089,12,12,35.72473111378084,0,2.605438007639549
9,16,Botanical Garden Noida,5,37.74410645620251,0,56046.73062686583,13,13,35.5091970064129,0,2.234909449789612
9,9,DLF Cyber City,10,37.63062983886925,0,263349.6514233608,14,14,34.20076236769797,0,3.4298674711712778
9,8,Vasant Kunj,5,35.14780223429125,0,42827.1549273755,15,15,32.238295672899824,0,2.9095065613914244
9,12,Udyog Vihar,10,34.918533976396404,0,198000.5210187052,16,16,31.266914660341182,0,3.6516193160552217
9,17,Indirapuram,6,33.601425777538246,0,48795.4402731747,17,17,29.547912136907694,0,4.053513640630552
5,2,Nehru Place,11,69.41922373651194,9,2319956.7747831815,1,1,65.6917891407929,0,3.727434595719032
5,1,Connaught Place,11,66.44733695232951,8,1745909.652763666,2,2,63.388989258901034,0,3.0583476934284732
5,6,Karol Bagh,10,59.69540152140938,4,950891.8860679785,3,3,56.42829264857056,0,3.2671088728388185
5,7,Lajpat Nagar,6,58.83267016526742,2,412164.6623680843,4,4,56.4128638583879,0,2.419806306879522
5,11,Golf Course Road,5,52.44917596937729,3,270092.8365403596,5,5,48.56552802651301,0,3.883647942864286
5,4,Dwarka Sector 21,3,47.61067636470099,0,67115.67175324785,6,6,43.9051251503458,0,3.7055512143551894
5,14,Noida Sector 62,4,46.94787424029147,3,167676.44260473642,7,7,43.4215328199006,0,3.526341420390871
5,5,Rajouri Garden,5,46.20993195587335,0,137177.04272711085,8,8,42.318946320984836,0,3.890985634888516
5,19,Faridabad Sector 15,5,44.67602338934081,1,177270.80455317756,9,9,41.09416512475504,0,3.581858264585769
5,3,Saket,10,43.5960659003883,0,364814.51114570093,10,10,39.87186325133635,0,3.7242026490519464
5,13,Noida Sector 18,4,41.755118034310826,1,82707.16726448979,11,11,38.08875782274635,0,3.6663602115644736
5,10,Sector 29 Gurugram,10,38.85049143813155,1,286490.7797205534,12,12,35.72473111378084,0,3.1257603243507077
5,16,Botanical Garden Noida,5,38.77557223103253,0,74444.06995513453,13,13,35.5091970064129,0,3.2663752246196296
5,9,DLF Cyber City,10,37.11474435306336,0,348671.55107780144,14,14,34.20076236769797,0,2.913981985365389
5,8,Vasant Kunj,5,35.12174929151319,0,56885.16853228651,15,15,32.238295672899824,0,2.883453618613366
5,12,Udyog Vihar,10,33.8898699813686,0,262716.778459541,16,16,31.266914660341182,0,2.6229553210274155
5,17,Indirapuram,6,32.47240682783225,0,64812.543542844294,17,17,29.547912136907694,0,2.9244946909245577
6,2,Nehru Place,11,65.6917891407929,9,1828740.181030414,1,1,65.6917891407929,0,0.0
6,1,Connaught Place,11,63.388989258901034,7,1385431.2139860475,2,2,63.388989258901034,0,0.0
6,6,Karol Bagh,10,56.42829264857056,4,743917.914279644,3,3,56.42829264857056,0,0.0
6,7,Lajpat Nagar,6,55.65062555969925,2,315896.3788120991,4,4,56.4128638583879,0,-0.7622382986886507
6,11,Golf Course Road,5,48.56552802651301,2,203344.87975935225,5,5,48.56552802651301,0,0.0
6,4,Dwarka Sector 21,3,43.9051251503458,0,50529.39714153801,6,6,43.9051251503458,0,0.0
6,14,Noida Sector 62,4,43.4215328199006,1,126238.61667964348,7,7,43.4215328199006,0,0.0
6,5,Rajouri Garden,5,42.318946320984836,0,103276.52379229123,8,8,42.318946320984836,0,0.0
6,19,Faridabad Sector 15,5,41.09416512475504,0,133461.92701161496,9,9,41.09416512475504,0,0.0
6,3,Saket,10,39.87186325133635,0,274658.01704927604,10,10,39.87186325133635,0,0.0
6,13,Noida Sector 18,4,38.08875782274635,0,62267.77132654982,11,11,38.08875782274635,0,0.0
6,10,Sector 29 Gurugram,10,35.72473111378084,0,215690.4044574089,12,12,35.72473111378084,0,0.0
6,16,Botanical Garden Noida,5,35.5091970064129,0,56046.73062686583,13,13,35.5091970064129,0,0.0
6,9,DLF Cyber City,10,34.20076236769797,0,263349.6514233608,14,14,34.20076236769797,0,0.0
6,8,Vasant Kunj,5,32.238295672899824,0,42827.1549273755,15,15,32.238295672899824,0,0.0
6,12,Udyog Vihar,10,31.266914660341182,0,198000.5210187052,16,16,31.266914660341182,0,0.0
6,17,Indirapuram,6,27.79540424926975,0,48795.4402731747,17,17,29.547912136907694,0,-1.7525078876379432
10,2,Nehru Place,11,67.46162970959014,9,1828740.181030414,1,1,65.6917891407929,0,1.7698405687972354
10,1,Connaught Place,11,64.24637334108307,8,1385431.2139860475,2,2,63.388989258901034,0,0.8573840821820369
10,6,Karol Bagh,10,55.18422444738094,4,743917.914279644,3,3,56.42829264857056,0,-1.24406820118962
10,7,Lajpat Nagar,6,55.040128118997416,2,315896.3788120991,4,4,56.4128638583879,0,-1.372735739390485
10,11,Golf Course Road,5,49.10737351218143,2,203344.87975935225,5,5,48.56552802651301,0,0.5418454856684249
10,14,Noida Sector 62,4,43.81053536732862,2,126238.61667964348,6,7,43.4215328199006,1,0.3890025474280207
10,4,Dwarka Sector 21,3,43.50961436397974,0,50529.39714153801,7,6,43.9051251503458,-1,-0.3955107863660601
10,5,Rajouri Garden,5,41.263682726927435,0,103276.52379229123,8,8,42.318946320984836,0,-1.0552635940574009
10,19,Faridabad Sector 15,5,40.76452713516816,1,133461.92701161496,9,9,41.09416512475504,0,-0.3296379895868853
10,3,Saket,10,40.00387764877338,0,274658.01704927604,10,10,39.87186325133635,0,0.1320143974370324
10,13,Noida Sector 18,4,37.24712208750826,0,62267.77132654981,11,11,38.08875782274635,0,-0.8416357352380928
10,10,Sector 29 Gurugram,10,35.1042533440472,1,215690.4044574089,12,12,35.72473111378084,0,-0.6204777697336397
10,9,DLF Cyber City,10,34.18697362335889,0,263349.6514233608,13,14,34.20076236769797,1,-0.0137887443390809
10,16,Botanical Garden Noida,5,34.04196311031163,0,56046.73062686583,14,13,35.5091970064129,-1,-1.46723389610127
10,8,Vasant Kunj,5,31.30215042924445,0,42827.1549273755,15,15,32.238295672899824,0,-0.9361452436553748
10,12,Udyog Vihar,10,30.989516401691898,0,198000.5210187052,16,16,31.266914660341182,0,-0.2773982586492884
10,17,Indirapuram,6,27.580702177993672,0,48795.4402731747,17,17,29.547912136907694,0,-1.9672099589140224
11,2,Nehru Place,11,66.65597831171898,9,1828740.181030414,1,1,65.6917891407929,0,0.964189170926076
11,1,Connaught Place,11,64.62560459020966,8,1385431.2139860475,2,2,63.388989258901034,0,1.2366153313086272
11,7,Lajpat Nagar,6,60.02219552666323,3,315896.3788120991,3,4,56.4128638583879,1,3.609331668275331
11,6,Karol Bagh,10,56.98192926973187,4,743917.914279644,4,3,56.42829264857056,-1,0.55363662116131
11,11,Golf Course Road,5,50.40675618902304,2,203344.87975935225,5,5,48.56552802651301,0,1.8412281625100348
11,4,Dwarka Sector 21,3,44.699759861316586,0,50529.39714153801,6,6,43.9051251503458,0,0.794634710970783
11,14,Noida Sector 62,4,43.74892394518152,1,126238.61667964348,7,7,43.4215328199006,0,0.3273911252809185
11,5,Rajouri Garden,5,43.53561521387995,0,103276.52379229123,8,8,42.318946320984836,0,1.2166688928951146
11,19,Faridabad Sector 15,5,43.428004127336784,0,133461.92701161496,9,9,41.09416512475504,0,2.3338390025817404
11,3,Saket,10,40.56759197673078,0,274658.01704927604,10,10,39.87186325133635,0,0.6957287253944315
11,10,Sector 29 Gurugram,10,39.67004118323389,1,215690.4044574089,11,12,35.72473111378084,1,3.9453100694530505
11,13,Noida Sector 18,4,38.69273159269496,0,62267.77132654982,12,11,38.08875782274635,-1,0.6039737699486096
11,16,Botanical Garden Noida,5,36.76736205701278,0,56046.73062686583,13,13,35.5091970064129,0,1.2581650505998851
11,9,DLF Cyber City,10,35.519862915524065,0,263349.6514233608,14,14,34.20076236769797,0,1.3191005478260962
11,8,Vasant Kunj,5,34.76254355751874,0,42827.1549273755,15,15,32.238295672899824,0,2.524247884618916
11,17,Indirapuram,6,34.74239435099338,0,48795.4402731747,16,17,29.547912136907694,1,5.194482214085685
11,12,Udyog Vihar,10,32.54183309262841,0,198000.5210187052,17,16,31.266914660341182,-1,1.274918432287226
