parking_id,avg_occupancy_rate,p90_peak_occupancy_rate,demand_score,revenue_score,competition_score,strategic_fit_score,feasibility_score,attractiveness_score,acquisition_score,priority_segment,acquisition_rank,expected_monthly_platform_revenue_inr,expected_commission_pct,estimated_onboarding_cost_inr,documentation_readiness,operational_complexity,requires_capex,exclusivity_possible,estimated_setup_days,competitor_count_500m,competitor_count_1km,competitor_distance_proxy_m,aggregator_listed_count_1km,aggregator_penetration_rate,competitor_avg_hourly_rate_inr,nearest_live_network_distance_km,live_network_site_count,live_network_capacity_cars,avg_daily_platform_bookings,avg_daily_gross_revenue_inr,rank_stability_pct,stability_class,top_10_frequency_pct,top_20_frequency_pct,average_rank,best_rank,worst_rank,rank_standard_deviation,positive_reason_flags,constraint_reason_flags,recommendation,avg_daily_bookings,avg_daily_revenue_inr,revenue_per_space_inr,bookings_per_space,revenue_per_occupied_space_inr
11,0.22639287671232877,0.50036,38.16,47.26,18.49,87.64,82.55,46.1,51.56,DEVELOP,34,34230.64,15.5,50500.0,4,2,False,True,17,13,29,147.0,6,0.20689655172413793,50.0,2.5391544547465448,1,104,44.25753424657534,27552.329068493153,0.0,Highly Sensitive,0.0,0.0,33.36,27,38,2.93,NETWORK_GAP|HIGH_OWNER_READINESS|STRONG_METRO_ACCESS,HIGH_COMPETITION|COMPETITOR_PRICE_PRESSURE,Use sequenced low-cost outreach and validate the opportunity before escalating resources.,44.26,27552.33,171.13,0.2749,755.91
12,0.5169309589041096,0.7996,77.92,61.61,34.85,62.27,59.32,62.76,62.24,ACQUIRE_NOW,20,53571.66,13.0,65000.0,2,3,False,True,25,7,11,30.0,1,0.09090909090909091,80.0,0.7910512793967052,1,209,89.0958904109589,52813.81989041096,0.0,Highly Sensitive,0.0,81.82,20.0,18,24,1.48,HIGH_DEMAND|HIGH_REVENUE|NETWORK_GAP|STRONG_METRO_ACCESS|CAPACITY_EFFICIENT_REVENUE|SUSTAINED_UTILIZATION,DOCUMENTATION_GAP,Prioritise for named-owner outreach and commercial diligence.,89.1,52813.82,412.61,0.6961,798.19
13,0.4278832876712329,0.6927,68.8,91.49,21.38,68.58,70.23,67.07,67.54,ACQUIRE_NOW,10,285442.07,20.0,92000.0,2,3,False,True,19,7,11,30.0,4,0.36363636363636365,45.0,0.8200813059776715,1,209,313.75068493150684,206968.14520547946,80.0,Stable,81.82,100.0,10.09,8,14,1.62,HIGH_DEMAND|HIGH_REVENUE|NETWORK_GAP|HIGH_OWNER_READINESS|STRONG_METRO_ACCESS|CAPACITY_EFFICIENT_REVENUE|SUSTAINED_UTILIZATION,HIGH_COMPETITION|DOCUMENTATION_GAP|COMPETITOR_PRICE_PRESSURE,Prioritise for named-owner outreach and commercial diligence.,313.75,206968.15,414.77,0.6288,969.34
14,0.37298904109589043,0.6433599999999999,63.8,69.99,30.03,69.66,62.07,60.69,60.9,ACQUIRE_NOW,23,95893.56,20.0,137000.0,3,2,True,False,25,7,10,99.0,1,0.1,35.0,0.9710873688292672,1,209,130.05753424657533,55772.725698630136,0.0,Highly Sensitive,0.0,9.09,22.45,19,23,1.23,HIGH_DEMAND|HIGH_REVENUE|NETWORK_GAP|STRONG_METRO_ACCESS|CAPACITY_EFFICIENT_REVENUE,HIGH_COMPETITION|HIGH_ONBOARDING_COST|CAPEX_REQUIRED|COMPETITOR_PRICE_PRESSURE,Prioritise for named-owner outreach and commercial diligence.,130.06,55772.73,207.33,0.4835,555.87
15,0.4457506849315068,0.70994,70.83,85.81,28.96,71.02,59.72,67.88,66.65,ACQUIRE_NOW,13,193956.29,16.0,116000.0,3,3,True,False,40,8,11,174.0,2,0.18181818181818182,45.0,0.942965978158782,1,209,324.3068493150685,152726.50797260273,0.0,Highly Sensitive,0.0,100.0,13.27,12,16,1.05,HIGH_DEMAND|HIGH_REVENUE|NETWORK_GAP|STRONG_METRO_ACCESS|CAPACITY_EFFICIENT_REVENUE|SUSTAINED_UTILIZATION,HIGH_COMPETITION|HIGH_ONBOARDING_COST|CAPEX_REQUIRED,Prioritise for named-owner outreach and commercial diligence.,324.31,152726.51,365.37,0.7759,819.68
16,0.46904383561643836,0.74794,73.36,80.57,30.06,71.72,63.66,67.55,66.97,ACQUIRE_NOW,11,124440.43,15.0,131000.0,3,3,True,True,40,7,10,99.0,2,0.2,45.0,1.0618660385645577,1,209,224.84657534246574,101657.16969863014,10.0,Highly Sensitive,18.18,100.0,11.64,10,14,1.37,HIGH_DEMAND|HIGH_REVENUE|NETWORK_GAP|STRONG_METRO_ACCESS|CAPACITY_EFFICIENT_REVENUE|SUSTAINED_UTILIZATION,HIGH_COMPETITION|HIGH_ONBOARDING_COST|CAPEX_REQUIRED,Prioritise for named-owner outreach and commercial diligence.,224.85,101657.17,447.83,0.9905,954.77
17,0.5178032876712328,0.78686,76.45,87.58,32.28,72.3,88.02,71.2,73.72,ACQUIRE_NOW,4,139122.93,21.0,67500.0,5,2,False,True,24,7,11,19.0,1,0.09090909090909091,65.0,1.0968820050934787,1,209,159.56438356164384,84759.41619178082,100.0,Very Stable,100.0,100.0,4.18,2,6,1.19,HIGH_DEMAND|HIGH_REVENUE|NETWORK_GAP|HIGH_OWNER_READINESS|STRONG_METRO_ACCESS|CAPACITY_EFFICIENT_REVENUE|SUSTAINED_UTILIZATION,,Prioritise for named-owner outreach and commercial diligence.,159.56,84759.42,432.45,0.8141,835.15
18,0.6717016438356165,0.9799599999999999,83.91,100.0,34.07,74.59,66.18,78.2,76.4,ACQUIRE_NOW,2,316883.8,21.5,126500.0,4,2,False,True,10,7,11,19.0,2,0.18181818181818182,85.0,1.1145607611688533,1,209,426.586301369863,212107.90005479453,100.0,Very Stable,100.0,100.0,2.18,1,4,0.83,HIGH_DEMAND|HIGH_REVENUE|NETWORK_GAP|STRONG_METRO_ACCESS|CAPACITY_EFFICIENT_REVENUE|SUSTAINED_UTILIZATION,HIGH_ONBOARDING_COST|DECISION_MAKER_BLOCKED,Prioritise for named-owner outreach and commercial diligence.,426.59,212107.9,671.23,1.35,999.29
19,0.446986301369863,0.7199800000000001,71.58,83.84,32.25,72.35,54.17,68.38,66.25,PURSUE,14,125634.7,17.0,112000.0,3,3,True,False,46,7,12,178.0,3,0.25,95.0,1.099432739355879,1,209,150.24383561643836,103458.14980821918,0.0,Highly Sensitive,0.0,100.0,14.27,12,18,1.48,HIGH_DEMAND|HIGH_REVENUE|NETWORK_GAP|STRONG_METRO_ACCESS|CAPACITY_EFFICIENT_REVENUE|SUSTAINED_UTILIZATION,HIGH_ONBOARDING_COST|CAPEX_REQUIRED,Assign senior BD to resolve the recorded feasibility constraints before commercial negotiation.,150.24,103458.15,533.29,0.7745,1193.08
20,0.41256301369863013,0.6772,61.6,44.22,21.97,59.68,51.58,49.16,49.52,PURSUE,39,26518.42,15.5,46000.0,2,1,False,True,16,4,12,316.0,4,0.3333333333333333,40.0,0.7164324735093126,1,209,39.21369863013699,33185.116246575344,0.0,Highly Sensitive,0.0,0.0,40.27,35,52,4.81,STRONG_METRO_ACCESS,HIGH_COMPETITION|DOCUMENTATION_GAP|COMPETITOR_PRICE_PRESSURE,Assign senior BD to resolve the recorded feasibility constraints before commercial negotiation.,39.21,33185.12,325.34,0.3844,788.59
21,0.47856246575342465,0.74932,67.34,90.5,26.41,56.15,78.12,64.96,66.93,ACQUIRE_NOW,12,264785.12,17.0,124500.0,3,3,True,True,39,2,12,316.0,5,0.4166666666666667,80.0,0.4038314329787186,1,209,306.36164383561646,202974.0872328767,40.0,Sensitive,27.27,100.0,12.09,9,16,2.19,HIGH_DEMAND|HIGH_REVENUE|HIGH_OWNER_READINESS|STRONG_METRO_ACCESS|CAPACITY_EFFICIENT_REVENUE|SUSTAINED_UTILIZATION,HIGH_COMPETITION|HIGH_ONBOARDING_COST|CAPEX_REQUIRED,Prioritise for named-owner outreach and commercial diligence.,306.36,202974.09,414.23,0.6252,865.58
22,0.48283616438356164,0.74948,61.86,89.45,46.48,59.48,57.81,66.84,65.48,ACQUIRE_NOW,17,202491.21,18.0,78000.0,3,3,False,False,28,2,8,405.0,0,0.0,75.0,0.5794680541728643,1,209,281.34794520547945,221864.4340821918,0.0,Highly Sensitive,0.0,100.0,16.27,11,17,1.76,HIGH_DEMAND|HIGH_REVENUE|STRONG_METRO_ACCESS|CAPACITY_EFFICIENT_REVENUE|SUSTAINED_UTILIZATION,DECISION_MAKER_BLOCKED,Prioritise for named-owner outreach and commercial diligence.,281.35,221864.43,609.52,0.7729,1262.37
23,0.2977213698630137,0.5526800000000001,21.41,44.25,49.26,21.99,95.53,33.15,42.5,DEVELOP,57,31078.24,17.5,57500.0,5,2,False,True,18,1,5,118.0,0,0.0,55.0,0.3148501363966751,1,195,58.221917808219175,33990.49569863014,0.0,Highly Sensitive,0.0,0.0,58.45,50,71,5.47,HIGH_OWNER_READINESS,LOW_STRATEGIC_FIT|NETWORK_CANNIBALIZATION_RISK,Use sequenced low-cost outreach and validate the opportunity before escalating resources.,58.22,33990.5,186.76,0.3199,627.3
24,0.2566747945205479,0.5043,17.05,26.5,49.68,18.28,65.71,25.8,31.79,AVOID,98,12551.21,16.5,94500.0,3,2,True,False,15,1,5,118.0,0,0.0,45.0,0.24665719673743547,1,195,31.09041095890411,15098.16301369863,0.0,Highly Sensitive,0.0,0.0,99.82,93,110,4.2,,LOW_DEMAND|LOW_STRATEGIC_FIT|CAPEX_REQUIRED|NETWORK_CANNIBALIZATION_RISK,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,31.09,15098.16,139.8,0.2879,544.65
25,0.2693854794520548,0.52342,21.59,32.75,29.28,34.17,54.97,28.45,32.43,AVOID,95,18168.61,15.0,99000.0,3,3,True,True,37,1,10,498.0,1,0.1,40.0,0.7306876686316768,1,195,39.78630136986301,23820.599452054794,0.0,Highly Sensitive,0.0,0.0,96.91,91,105,4.1,,HIGH_COMPETITION|LOW_STRATEGIC_FIT|CAPEX_REQUIRED|COMPETITOR_PRICE_PRESSURE,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,39.79,23820.6,140.12,0.234,520.15
26,0.31658,0.56784,24.42,52.69,54.73,31.85,79.72,39.4,45.44,DEVELOP,49,53621.93,15.0,143500.0,3,1,False,False,14,0,4,589.0,1,0.25,40.0,0.48069704685056536,1,195,169.24383561643836,66187.77416438356,0.0,Highly Sensitive,0.0,0.0,50.27,44,60,4.0,HIGH_OWNER_READINESS,LOW_STRATEGIC_FIT|HIGH_ONBOARDING_COST,Use sequenced low-cost outreach and validate the opportunity before escalating resources.,169.24,66187.77,162.62,0.4158,513.69
27,0.28214575342465753,0.5378,21.89,34.2,26.21,49.18,69.69,31.09,36.88,AVOID,76,20551.99,16.0,68500.0,3,3,False,True,34,5,8,102.0,2,0.25,15.0,1.1829560745298169,1,195,84.08767123287672,24831.389506849315,0.0,Highly Sensitive,0.0,0.0,75.45,70,81,3.2,HIGH_OWNER_READINESS,HIGH_COMPETITION|COMPETITOR_PRICE_PRESSURE,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,84.09,24831.39,100.53,0.3404,356.31
28,0.3032567123287671,0.55548,21.84,44.2,51.92,30.5,59.52,35.25,38.89,DEVELOP,69,30966.57,15.5,90000.0,3,3,False,True,23,0,4,768.0,1,0.25,65.0,0.5984367388776555,1,195,44.12328767123287,46226.01095890411,0.0,Highly Sensitive,0.0,0.0,70.36,65,83,4.66,,LOW_STRATEGIC_FIT|DECISION_MAKER_BLOCKED,Use sequenced low-cost outreach and validate the opportunity before escalating resources.,44.12,46226.01,255.39,0.2438,842.17
29,0.37770794520547946,0.63036,35.41,44.38,40.3,47.73,50.2,41.08,42.45,AVOID,58,29702.48,12.0,86500.0,3,2,True,False,40,6,7,256.0,2,0.2857142857142857,95.0,1.2056679216594977,1,195,57.66575342465753,62106.45712328767,0.0,Highly Sensitive,0.0,0.0,59.0,54,67,3.44,,CAPEX_REQUIRED,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,57.67,62106.46,419.64,0.3896,1111.01
30,0.29740164383561646,0.5454,23.68,40.68,43.59,53.92,62.92,37.53,41.34,DEVELOP,62,24300.62,21.0,78000.0,4,1,True,True,20,5,6,144.0,0,0.0,55.0,1.4323021308267687,1,195,34.087671232876716,23057.84605479452,0.0,Highly Sensitive,0.0,0.0,60.82,56,64,2.33,,DECISION_MAKER_BLOCKED|CAPEX_REQUIRED,Use sequenced low-cost outreach and validate the opportunity before escalating resources.,34.09,23057.85,185.95,0.2749,625.25
31,0.32033287671232874,0.57028,28.15,43.36,43.59,61.33,73.12,41.2,45.99,DEVELOP,48,34048.14,16.0,80000.0,4,3,False,True,37,5,6,144.0,0,0.0,25.0,1.575908973078414,1,195,138.94520547945206,37959.511150684935,0.0,Highly Sensitive,0.0,0.0,47.0,43,50,1.86,HIGH_OWNER_READINESS,,Use sequenced low-cost outreach and validate the opportunity before escalating resources.,138.95,37959.51,100.69,0.3686,314.32
32,0.4305967123287671,0.6859,42.35,33.8,37.56,57.67,37.1,41.69,41.01,AVOID,63,19668.23,15.0,124500.0,3,4,True,True,54,5,7,205.0,2,0.2857142857142857,35.0,1.5894317365933626,1,195,72.12054794520547,33989.66928767123,0.0,Highly Sensitive,0.0,0.0,63.91,53,73,5.58,SUSTAINED_UTILIZATION,LOW_OWNER_READINESS|HIGH_ONBOARDING_COST|DECISION_MAKER_BLOCKED|CAPEX_REQUIRED,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,72.12,33989.67,165.0,0.3501,383.19
33,0.29758520547945205,0.5421199999999999,21.34,33.81,95.5,67.21,40.69,46.19,45.36,AVOID,50,20742.19,12.0,92500.0,1,3,False,True,33,0,0,1500.0,0,0.0,,1.681571251589452,1,190,38.72054794520548,58746.34024657534,0.0,Highly Sensitive,0.0,0.0,49.36,43,53,2.84,LOW_COMPETITION|NETWORK_GAP,LOW_OWNER_READINESS|DOCUMENTATION_GAP,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,38.72,58746.34,185.32,0.1221,622.74
34,0.37888794520547947,0.62878,34.57,37.47,95.5,65.03,46.42,51.55,50.78,PURSUE,35,23663.97,11.5,104500.0,3,4,False,False,33,0,0,1500.0,0,0.0,,2.3406575311334357,1,190,45.986301369863014,56260.81189041096,0.0,Highly Sensitive,0.0,0.0,35.73,30,39,2.3,LOW_COMPETITION|NETWORK_GAP,,Assign senior BD to resolve the recorded feasibility constraints before commercial negotiation.,45.99,56260.81,256.9,0.21,678.03
35,0.2976186301369863,0.54918,22.01,14.82,95.5,33.83,39.08,34.95,35.57,AVOID,80,6123.24,14.5,53500.0,2,4,False,True,35,0,0,1500.0,0,0.0,,0.8378929638606877,1,190,7.342465753424658,9302.367835616438,0.0,Highly Sensitive,0.0,0.0,82.82,75,99,6.25,LOW_COMPETITION,LOW_REVENUE|LOW_STRATEGIC_FIT|LOW_OWNER_READINESS|DOCUMENTATION_GAP|DECISION_MAKER_BLOCKED,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,7.34,9302.37,226.89,0.1791,762.34
36,0.37219945205479454,0.64168,35.37,35.46,49.96,49.23,62.31,40.42,43.7,DEVELOP,54,20738.48,13.0,71500.0,3,5,False,False,56,1,3,98.0,2,0.6666666666666666,40.0,9.054882822572754,0,0,91.9013698630137,30409.13202739726,0.0,Highly Sensitive,0.0,0.0,53.64,51,56,1.43,,,Use sequenced low-cost outreach and validate the opportunity before escalating resources.,91.9,30409.13,173.77,0.5252,466.86
37,0.33552931506849315,0.5842,30.17,27.63,51.63,49.99,50.82,36.71,38.82,AVOID,70,14331.92,10.5,111000.0,3,3,True,False,40,1,3,98.0,1,0.3333333333333333,35.0,8.987522183006174,0,0,62.73972602739726,37461.20843835617,0.0,Highly Sensitive,0.0,0.0,69.82,66,74,1.99,,HIGH_ONBOARDING_COST|CAPEX_REQUIRED|COMPETITOR_PRICE_PRESSURE,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,62.74,37461.21,201.4,0.3373,600.26
38,0.31348301369863013,0.56602,27.63,27.38,61.52,47.56,62.91,37.05,40.93,DEVELOP,64,13314.54,15.0,41000.0,2,1,False,True,19,1,3,291.0,0,0.0,35.0,8.70467179005812,0,0,46.05205479452055,23123.965589041098,0.0,Highly Sensitive,0.0,0.0,63.18,59,69,2.55,LOW_COMPETITION,DOCUMENTATION_GAP|DECISION_MAKER_BLOCKED|COMPETITOR_PRICE_PRESSURE,Use sequenced low-cost outreach and validate the opportunity before escalating resources.,46.05,23123.97,192.7,0.3838,614.71
39,0.3060194520547945,0.5716,25.48,18.63,56.88,43.76,47.96,32.23,34.59,AVOID,86,7820.15,13.5,77000.0,3,2,True,False,36,1,4,291.0,1,0.25,45.0,8.709908880246275,0,0,34.00547945205479,12061.837479452055,0.0,Highly Sensitive,0.0,0.0,87.36,82,93,3.62,,LOW_REVENUE|LOW_STRATEGIC_FIT|DECISION_MAKER_BLOCKED|CAPEX_REQUIRED,Do not allocate active BD capacity; revisit only when the market or owner posture changes.,34.01,12061.84,204.44,0.5764,668.06
40,0.41564547945205477,0.67488,38.85,51.67,86.18,58.16,48.8,54.38,53.54,PURSUE,32,47071.43,11.0,92000.0,3,5,False,True,51,0,1,813.0,0,0.0,70.0,8.444433359826542,0,0,131.7890410958904,102941.00167123288,0.0,Highly Sensitive,0.0,0.0,31.82,28,34,1.64,LOW_COMPETITION,DECISION_MAKER_BLOCKED,Assign senior BD to resolve the recorded feasibility constraints before commercial negotiation.,131.79,102941.0,378.46,0.4845,910.53
41,0.4871367123287671,0.74926,67.39,91.22,51.5,54.37,80.75,69.3,71.01,ACQUIRE_NOW,7,220387.98,17.0,134000.0,4,4,False,True,39,3,5,380.0,0,0.0,50.0,0.554899942359753,1,119,394.2821917808219,177613.4616712329,100.0,Very Stable,100.0,100.0,6.82,5,9,1.03,HIGH_DEMAND|HIGH_REVENUE|HIGH_OWNER_READINESS|STRONG_METRO_ACCESS|CAPACITY_EFFICIENT_REVENUE|SUSTAINED_UTILIZATION,HIGH_ONBOARDING_COST|COMPETITOR_PRICE_PRESSURE,Prioritise for named-owner outreach and commercial diligence.,394.28,177613.46,455.42,1.011,934.89
42,0.5439063013698631,0.8186,70.11,46.81,47.87,58.6,69.48,57.3,59.13,ACQUIRE_NOW,25,29554.42,15.0,57000.0,4,2,False,True,21,3,5,41.0,0,0.0,35.0,0.9183589647904429,1,119,89.0027397260274,37017.54030136986,0.0,Highly Sensitive,0.0,0.0,25.18,24,28,1.03,HIGH_DEMAND|HIGH_OWNER_READINESS|CAPACITY_EFFICIENT_REVENUE|SUSTAINED_UTILIZATION,COMPETITOR_PRICE_PRESSURE,Prioritise for named-owner outreach and commercial diligence.,89.0,37017.54,352.55,0.8476,648.18
43,0.5454942465753425,0.8318,70.6,62.73,57.87,61.46,50.15,64.43,62.28,PURSUE,19,67391.8,12.5,91000.0,3,2,True,False,38,3,5,41.0,0,0.0,105.0,0.9356615431912507,1,119,152.15616438356165,114812.9738630137,0.0,Highly Sensitive,0.0,45.45,20.73,19,22,1.29,HIGH_DEMAND|HIGH_REVENUE|CAPACITY_EFFICIENT_REVENUE|SUSTAINED_UTILIZATION,CAPEX_REQUIRED,Assign senior BD to resolve the recorded feasibility constraints before commercial negotiation.,152.16,114812.97,551.99,0.7315,1011.9
44,0.45927205479452055,0.71934,58.63,60.53,54.0,59.45,26.37,58.52,53.69,PURSUE,31,44053.98,15.5,112000.0,1,5,True,True,52,3,5,54.0,1,0.2,135.0,0.9596708482579742,1,119,85.03287671232877,48541.91197260274,0.0,Highly Sensitive,0.0,0.0,32.91,29,42,3.99,HIGH_REVENUE|CAPACITY_EFFICIENT_REVENUE|SUSTAINED_UTILIZATION,LOW_OWNER_READINESS|HIGH_ONBOARDING_COST|DOCUMENTATION_GAP|DECISION_MAKER_BLOCKED|CAPEX_REQUIRED,Assign senior BD to resolve the recorded feasibility constraints before commercial negotiation.,85.03,48541.91,545.41,0.9554,1187.56
45,0.3724923287671233,0.6397200000000001,51.32,84.76,29.43,64.5,64.54,59.62,60.36,ACQUIRE_NOW,24,251315.65,18.0,230500.0,3,4,False,True,29,5,9,105.0,3,0.3333333333333333,30.0,0.6538945414079292,1,119,565.6164383561644,206679.852,0.0,Highly Sensitive,0.0,0.0,23.82,21,28,1.8,HIGH_REVENUE|NETWORK_GAP|STRONG_METRO_ACCESS|CAPACITY_EFFICIENT_REVENUE,HIGH_COMPETITION|HIGH_ONBOARDING_COST|COMPETITOR_PRICE_PRESSURE,Prioritise for named-owner outreach and commercial diligence.,565.62,206679.85,292.75,0.8012,785.92
