parking_id,dimension_code,subscore,weight_applied,weighted_contribution
41,DEMAND,67.39,0.3,20.217
41,REVENUE,91.22,0.25,22.805
41,COMPETITION,51.5,0.15,7.725
41,STRATEGIC_FIT,54.37,0.15,8.155
41,FEASIBILITY,80.75,0.15,12.112
42,DEMAND,70.11,0.3,21.033
42,REVENUE,46.81,0.25,11.703
42,COMPETITION,47.87,0.15,7.18
42,STRATEGIC_FIT,58.6,0.15,8.79
42,FEASIBILITY,69.48,0.15,10.422
43,DEMAND,70.6,0.3,21.18
43,REVENUE,62.73,0.25,15.682
43,COMPETITION,57.87,0.15,8.68
43,STRATEGIC_FIT,61.46,0.15,9.219
43,FEASIBILITY,50.15,0.15,7.522
44,DEMAND,58.63,0.3,17.589
44,REVENUE,60.53,0.25,15.133
44,COMPETITION,54.0,0.15,8.1
44,STRATEGIC_FIT,59.45,0.15,8.918
44,FEASIBILITY,26.37,0.15,3.955
45,DEMAND,51.32,0.3,15.396
45,REVENUE,84.76,0.25,21.19
45,COMPETITION,29.43,0.15,4.414
45,STRATEGIC_FIT,64.5,0.15,9.675
45,FEASIBILITY,64.54,0.15,9.681
46,DEMAND,73.34,0.3,22.002
46,REVENUE,66.05,0.25,16.512
46,COMPETITION,53.51,0.15,8.026
46,STRATEGIC_FIT,56.8,0.15,8.52
46,FEASIBILITY,71.42,0.15,10.713
47,DEMAND,48.04,0.3,14.412
47,REVENUE,27.34,0.25,6.835
47,COMPETITION,52.34,0.15,7.851
47,STRATEGIC_FIT,66.13,0.15,9.919
47,FEASIBILITY,30.15,0.15,4.522
48,DEMAND,79.75,0.3,23.925
48,REVENUE,27.6,0.25,6.9
48,COMPETITION,32.64,0.15,4.896
48,STRATEGIC_FIT,47.99,0.15,7.199
48,FEASIBILITY,14.78,0.15,2.217
49,DEMAND,78.16,0.3,23.448
49,REVENUE,21.54,0.25,5.385
49,COMPETITION,51.25,0.15,7.688
49,STRATEGIC_FIT,53.21,0.15,7.981
49,FEASIBILITY,38.74,0.15,5.811
50,DEMAND,65.44,0.3,19.632
50,REVENUE,31.38,0.25,7.845
50,COMPETITION,61.18,0.15,9.177
50,STRATEGIC_FIT,72.51,0.15,10.877
50,FEASIBILITY,36.7,0.15,5.505
51,DEMAND,81.42,0.3,24.426
51,REVENUE,45.81,0.25,11.453
51,COMPETITION,88.87,0.15,13.331
51,STRATEGIC_FIT,70.94,0.15,10.641
51,FEASIBILITY,87.71,0.15,13.156
52,DEMAND,81.91,0.3,24.573
52,REVENUE,86.48,0.25,21.62
52,COMPETITION,56.63,0.15,8.495
52,STRATEGIC_FIT,82.67,0.15,12.4
52,FEASIBILITY,74.73,0.15,11.21
53,DEMAND,10.93,0.3,3.279
53,REVENUE,34.48,0.25,8.62
53,COMPETITION,59.95,0.15,8.992
53,STRATEGIC_FIT,77.1,0.15,11.565
53,FEASIBILITY,76.64,0.15,11.496
54,DEMAND,20.16,0.3,6.048
54,REVENUE,15.49,0.25,3.873
54,COMPETITION,55.31,0.15,8.296
54,STRATEGIC_FIT,70.51,0.15,10.577
54,FEASIBILITY,39.17,0.15,5.875
55,DEMAND,81.44,0.3,24.432
55,REVENUE,60.94,0.25,15.235
55,COMPETITION,50.43,0.15,7.564
55,STRATEGIC_FIT,77.97,0.15,11.695
55,FEASIBILITY,48.19,0.15,7.228
56,DEMAND,22.51,0.3,6.753
56,REVENUE,28.93,0.25,7.232
56,COMPETITION,54.3,0.15,8.145
56,STRATEGIC_FIT,77.19,0.15,11.579
56,FEASIBILITY,57.91,0.15,8.686
57,DEMAND,16.27,0.3,4.881
57,REVENUE,22.02,0.25,5.505
57,COMPETITION,51.69,0.15,7.753
57,STRATEGIC_FIT,40.25,0.15,6.037
57,FEASIBILITY,29.01,0.15,4.351
58,DEMAND,4.45,0.3,1.335
58,REVENUE,0.0,0.25,0.0
58,COMPETITION,67.52,0.15,10.128
58,STRATEGIC_FIT,39.07,0.15,5.861
58,FEASIBILITY,47.6,0.15,7.14
59,DEMAND,11.71,0.3,3.513
59,REVENUE,25.47,0.25,6.367
59,COMPETITION,95.5,0.15,14.325
59,STRATEGIC_FIT,49.76,0.15,7.464
59,FEASIBILITY,45.86,0.15,6.879
60,DEMAND,24.53,0.3,7.359
60,REVENUE,16.84,0.25,4.21
60,COMPETITION,54.53,0.15,8.179
60,STRATEGIC_FIT,55.46,0.15,8.319
60,FEASIBILITY,36.47,0.15,5.47
61,DEMAND,10.59,0.3,3.177
61,REVENUE,23.97,0.25,5.992
61,COMPETITION,55.4,0.15,8.31
61,STRATEGIC_FIT,59.77,0.15,8.966
61,FEASIBILITY,64.45,0.15,9.668
62,DEMAND,17.42,0.3,5.226
62,REVENUE,20.71,0.25,5.178
62,COMPETITION,29.52,0.15,4.428
62,STRATEGIC_FIT,38.35,0.15,5.753
62,FEASIBILITY,50.29,0.15,7.543
63,DEMAND,23.6,0.3,7.08
63,REVENUE,44.61,0.25,11.152
63,COMPETITION,31.88,0.15,4.782
63,STRATEGIC_FIT,41.34,0.15,6.201
63,FEASIBILITY,56.6,0.15,8.49
64,DEMAND,21.07,0.3,6.321
64,REVENUE,20.23,0.25,5.058
64,COMPETITION,28.01,0.15,4.202
64,STRATEGIC_FIT,31.74,0.15,4.761
64,FEASIBILITY,46.05,0.15,6.907
65,DEMAND,22.75,0.3,6.825
65,REVENUE,40.16,0.25,10.04
65,COMPETITION,29.19,0.15,4.378
65,STRATEGIC_FIT,31.96,0.15,4.794
65,FEASIBILITY,71.33,0.15,10.699
66,DEMAND,23.88,0.3,7.164
66,REVENUE,26.42,0.25,6.605
66,COMPETITION,42.86,0.15,6.429
66,STRATEGIC_FIT,45.93,0.15,6.889
66,FEASIBILITY,59.78,0.15,8.967
67,DEMAND,24.22,0.3,7.266
67,REVENUE,49.83,0.25,12.457
67,COMPETITION,31.65,0.15,4.747
67,STRATEGIC_FIT,26.9,0.15,4.035
67,FEASIBILITY,82.33,0.15,12.349
68,DEMAND,19.64,0.3,5.892
68,REVENUE,65.16,0.25,16.29
68,COMPETITION,31.64,0.15,4.746
68,STRATEGIC_FIT,32.15,0.15,4.822
68,FEASIBILITY,87.26,0.15,13.089
69,DEMAND,16.79,0.3,5.037
69,REVENUE,30.36,0.25,7.59
69,COMPETITION,35.25,0.15,5.287
69,STRATEGIC_FIT,31.81,0.15,4.771
69,FEASIBILITY,60.13,0.15,9.02
70,DEMAND,17.85,0.3,5.355
70,REVENUE,0.0,0.25,0.0
70,COMPETITION,59.29,0.15,8.893
70,STRATEGIC_FIT,56.14,0.15,8.421
70,FEASIBILITY,47.43,0.15,7.114
71,DEMAND,8.68,0.3,2.604
71,REVENUE,34.53,0.25,8.633
71,COMPETITION,28.75,0.15,4.312
71,STRATEGIC_FIT,43.6,0.15,6.54
71,FEASIBILITY,45.73,0.15,6.859
72,DEMAND,27.19,0.3,8.157
72,REVENUE,55.36,0.25,13.84
72,COMPETITION,46.01,0.15,6.901
72,STRATEGIC_FIT,61.9,0.15,9.285
72,FEASIBILITY,56.28,0.15,8.442
73,DEMAND,18.85,0.3,5.655
73,REVENUE,23.16,0.25,5.79
73,COMPETITION,35.85,0.15,5.378
73,STRATEGIC_FIT,56.28,0.15,8.442
73,FEASIBILITY,61.18,0.15,9.177
74,DEMAND,9.05,0.3,2.715
74,REVENUE,36.57,0.25,9.143
74,COMPETITION,44.25,0.15,6.638
74,STRATEGIC_FIT,63.34,0.15,9.501
74,FEASIBILITY,76.19,0.15,11.428
75,DEMAND,10.19,0.3,3.057
75,REVENUE,60.51,0.25,15.127
75,COMPETITION,58.56,0.15,8.784
75,STRATEGIC_FIT,66.22,0.15,9.933
75,FEASIBILITY,74.07,0.15,11.11
76,DEMAND,17.08,0.3,5.124
76,REVENUE,0.0,0.25,0.0
76,COMPETITION,41.73,0.15,6.259
76,STRATEGIC_FIT,54.34,0.15,8.151
76,FEASIBILITY,16.63,0.15,2.494
77,DEMAND,22.13,0.3,6.639
77,REVENUE,24.78,0.25,6.195
77,COMPETITION,43.63,0.15,6.545
77,STRATEGIC_FIT,56.42,0.15,8.463
77,FEASIBILITY,43.47,0.15,6.52
78,DEMAND,25.82,0.3,7.746
78,REVENUE,11.68,0.25,2.92
78,COMPETITION,45.67,0.15,6.851
78,STRATEGIC_FIT,54.26,0.15,8.139
78,FEASIBILITY,25.57,0.15,3.835
79,DEMAND,18.1,0.3,5.43
79,REVENUE,1.07,0.25,0.268
79,COMPETITION,76.46,0.15,11.469
79,STRATEGIC_FIT,54.15,0.15,8.122
79,FEASIBILITY,35.19,0.15,5.278
80,DEMAND,34.24,0.3,10.272
80,REVENUE,32.13,0.25,8.033
80,COMPETITION,56.37,0.15,8.455
80,STRATEGIC_FIT,55.81,0.15,8.371
80,FEASIBILITY,43.26,0.15,6.489
81,DEMAND,18.62,0.3,5.586
81,REVENUE,10.59,0.25,2.647
81,COMPETITION,37.61,0.15,5.641
81,STRATEGIC_FIT,54.73,0.15,8.209
81,FEASIBILITY,57.27,0.15,8.591
82,DEMAND,25.31,0.3,7.593
82,REVENUE,0.43,0.25,0.107
82,COMPETITION,90.31,0.15,13.546
82,STRATEGIC_FIT,56.62,0.15,8.493
82,FEASIBILITY,35.42,0.15,5.313
83,DEMAND,30.52,0.3,9.156
83,REVENUE,70.58,0.25,17.645
83,COMPETITION,66.6,0.15,9.99
83,STRATEGIC_FIT,64.71,0.15,9.706
83,FEASIBILITY,57.57,0.15,8.636
84,DEMAND,9.92,0.3,2.976
84,REVENUE,53.24,0.25,13.31
84,COMPETITION,85.93,0.15,12.889
84,STRATEGIC_FIT,70.42,0.15,10.563
84,FEASIBILITY,46.58,0.15,6.987
85,DEMAND,35.05,0.3,10.515
85,REVENUE,45.88,0.25,11.47
85,COMPETITION,92.59,0.15,13.889
85,STRATEGIC_FIT,59.1,0.15,8.865
85,FEASIBILITY,86.6,0.15,12.99
86,DEMAND,29.8,0.3,8.94
86,REVENUE,36.19,0.25,9.047
86,COMPETITION,67.02,0.15,10.053
86,STRATEGIC_FIT,56.97,0.15,8.545
86,FEASIBILITY,77.38,0.15,11.607
87,DEMAND,17.8,0.3,5.34
87,REVENUE,44.63,0.25,11.158
87,COMPETITION,45.32,0.15,6.798
87,STRATEGIC_FIT,30.74,0.15,4.611
87,FEASIBILITY,60.65,0.15,9.098
88,DEMAND,15.57,0.3,4.671
88,REVENUE,33.68,0.25,8.42
88,COMPETITION,32.82,0.15,4.923
88,STRATEGIC_FIT,15.18,0.15,2.277
88,FEASIBILITY,49.89,0.15,7.483
89,DEMAND,16.89,0.3,5.067
89,REVENUE,13.87,0.25,3.467
89,COMPETITION,22.31,0.15,3.346
89,STRATEGIC_FIT,12.49,0.15,1.873
89,FEASIBILITY,42.3,0.15,6.345
90,DEMAND,25.53,0.3,7.659
90,REVENUE,53.75,0.25,13.438
90,COMPETITION,49.56,0.15,7.434
90,STRATEGIC_FIT,34.58,0.15,5.187
90,FEASIBILITY,62.17,0.15,9.325
91,DEMAND,9.34,0.3,2.802
91,REVENUE,0.09,0.25,0.022
91,COMPETITION,33.12,0.15,4.968
91,STRATEGIC_FIT,20.37,0.15,3.055
91,FEASIBILITY,66.3,0.15,9.945
92,DEMAND,11.54,0.3,3.462
92,REVENUE,5.34,0.25,1.335
92,COMPETITION,56.08,0.15,8.412
92,STRATEGIC_FIT,39.45,0.15,5.918
92,FEASIBILITY,34.96,0.15,5.244
93,DEMAND,12.25,0.3,3.675
93,REVENUE,29.51,0.25,7.378
93,COMPETITION,54.41,0.15,8.161
93,STRATEGIC_FIT,41.91,0.15,6.286
93,FEASIBILITY,81.76,0.15,12.264
94,DEMAND,7.24,0.3,2.172
94,REVENUE,18.94,0.25,4.735
94,COMPETITION,53.41,0.15,8.011
94,STRATEGIC_FIT,53.56,0.15,8.034
94,FEASIBILITY,54.82,0.15,8.223
95,DEMAND,16.86,0.3,5.058
95,REVENUE,43.94,0.25,10.985
95,COMPETITION,45.05,0.15,6.757
95,STRATEGIC_FIT,60.25,0.15,9.037
95,FEASIBILITY,42.58,0.15,6.387
96,DEMAND,7.11,0.3,2.133
96,REVENUE,20.26,0.25,5.065
96,COMPETITION,40.88,0.15,6.132
96,STRATEGIC_FIT,55.49,0.15,8.323
96,FEASIBILITY,71.79,0.15,10.769
97,DEMAND,36.69,0.3,11.007
97,REVENUE,9.59,0.25,2.397
97,COMPETITION,68.16,0.15,10.224
97,STRATEGIC_FIT,39.88,0.15,5.982
97,FEASIBILITY,29.72,0.15,4.458
98,DEMAND,14.73,0.3,4.419
98,REVENUE,31.03,0.25,7.758
98,COMPETITION,65.27,0.15,9.79
98,STRATEGIC_FIT,28.95,0.15,4.342
98,FEASIBILITY,29.68,0.15,4.452
99,DEMAND,29.11,0.3,8.733
99,REVENUE,43.46,0.25,10.865
99,COMPETITION,67.1,0.15,10.065
99,STRATEGIC_FIT,54.8,0.15,8.22
99,FEASIBILITY,63.81,0.15,9.572
100,DEMAND,33.54,0.3,10.062
100,REVENUE,18.73,0.25,4.683
100,COMPETITION,84.62,0.15,12.693
100,STRATEGIC_FIT,59.82,0.15,8.973
100,FEASIBILITY,24.4,0.15,3.66
101,DEMAND,23.11,0.3,6.933
101,REVENUE,51.19,0.25,12.797
101,COMPETITION,81.12,0.15,12.168
101,STRATEGIC_FIT,48.79,0.15,7.318
101,FEASIBILITY,70.33,0.15,10.55
102,DEMAND,26.66,0.3,7.998
102,REVENUE,45.41,0.25,11.352
102,COMPETITION,73.16,0.15,10.974
102,STRATEGIC_FIT,40.82,0.15,6.123
102,FEASIBILITY,64.71,0.15,9.706
103,DEMAND,9.19,0.3,2.757
103,REVENUE,6.28,0.25,1.57
103,COMPETITION,95.5,0.15,14.325
103,STRATEGIC_FIT,33.83,0.15,5.074
103,FEASIBILITY,33.7,0.15,5.055
104,DEMAND,36.64,0.3,10.992
104,REVENUE,47.92,0.25,11.98
104,COMPETITION,46.06,0.15,6.909
104,STRATEGIC_FIT,66.03,0.15,9.905
104,FEASIBILITY,61.33,0.15,9.199
105,DEMAND,26.44,0.3,7.932
105,REVENUE,28.99,0.25,7.247
105,COMPETITION,61.26,0.15,9.189
105,STRATEGIC_FIT,37.16,0.15,5.574
105,FEASIBILITY,68.31,0.15,10.246
106,DEMAND,21.38,0.3,6.414
106,REVENUE,33.41,0.25,8.352
106,COMPETITION,56.23,0.15,8.434
106,STRATEGIC_FIT,31.44,0.15,4.716
106,FEASIBILITY,37.68,0.15,5.652
107,DEMAND,17.0,0.3,5.1
107,REVENUE,22.27,0.25,5.567
107,COMPETITION,64.32,0.15,9.648
107,STRATEGIC_FIT,48.9,0.15,7.335
107,FEASIBILITY,48.21,0.15,7.231
108,DEMAND,25.28,0.3,7.584
108,REVENUE,17.7,0.25,4.425
108,COMPETITION,67.99,0.15,10.198
108,STRATEGIC_FIT,53.8,0.15,8.07
108,FEASIBILITY,34.61,0.15,5.191
109,DEMAND,27.59,0.3,8.277
109,REVENUE,1.33,0.25,0.333
109,COMPETITION,78.13,0.15,11.719
109,STRATEGIC_FIT,53.75,0.15,8.062
109,FEASIBILITY,33.63,0.15,5.045
110,DEMAND,6.5,0.3,1.95
110,REVENUE,23.98,0.25,5.995
110,COMPETITION,50.62,0.15,7.593
110,STRATEGIC_FIT,57.76,0.15,8.664
110,FEASIBILITY,57.54,0.15,8.631
111,DEMAND,23.32,0.3,6.996
111,REVENUE,13.96,0.25,3.49
111,COMPETITION,27.47,0.15,4.12
111,STRATEGIC_FIT,56.99,0.15,8.549
111,FEASIBILITY,56.75,0.15,8.512
112,DEMAND,15.66,0.3,4.698
112,REVENUE,33.17,0.25,8.293
112,COMPETITION,26.47,0.15,3.97
112,STRATEGIC_FIT,58.53,0.15,8.78
112,FEASIBILITY,59.57,0.15,8.935
113,DEMAND,17.67,0.3,5.301
113,REVENUE,5.25,0.25,1.312
113,COMPETITION,30.43,0.15,4.564
113,STRATEGIC_FIT,52.12,0.15,7.818
113,FEASIBILITY,32.34,0.15,4.851
114,DEMAND,13.34,0.3,4.002
114,REVENUE,9.0,0.25,2.25
114,COMPETITION,50.74,0.15,7.611
114,STRATEGIC_FIT,58.6,0.15,8.79
114,FEASIBILITY,40.64,0.15,6.096
115,DEMAND,6.02,0.3,1.806
115,REVENUE,0.0,0.25,0.0
115,COMPETITION,27.1,0.15,4.065
115,STRATEGIC_FIT,50.68,0.15,7.602
115,FEASIBILITY,80.31,0.15,12.046
116,DEMAND,12.94,0.3,3.882
116,REVENUE,8.03,0.25,2.007
116,COMPETITION,80.02,0.15,12.003
116,STRATEGIC_FIT,52.8,0.15,7.92
116,FEASIBILITY,57.43,0.15,8.614
117,DEMAND,24.07,0.3,7.221
117,REVENUE,26.39,0.25,6.598
117,COMPETITION,95.5,0.15,14.325
117,STRATEGIC_FIT,54.36,0.15,8.154
117,FEASIBILITY,38.23,0.15,5.734
118,DEMAND,28.85,0.3,8.655
118,REVENUE,60.61,0.25,15.152
118,COMPETITION,54.59,0.15,8.188
118,STRATEGIC_FIT,65.68,0.15,9.852
118,FEASIBILITY,56.66,0.15,8.499
119,DEMAND,12.35,0.3,3.705
119,REVENUE,1.77,0.25,0.443
119,COMPETITION,72.9,0.15,10.935
119,STRATEGIC_FIT,52.91,0.15,7.936
119,FEASIBILITY,58.78,0.15,8.817
120,DEMAND,16.84,0.3,5.052
120,REVENUE,48.19,0.25,12.047
120,COMPETITION,73.8,0.15,11.07
120,STRATEGIC_FIT,57.65,0.15,8.647
120,FEASIBILITY,66.77,0.15,10.015
