lead_id,parking_id,lead_source,first_contact_date,contact_attempts,furthest_stage_id,furthest_stage_order,pipeline_status,lost_reason,documents_available,owner_interest_level,conversion_date,assigned_bd_rep,days_to_conversion
99,99,Field Survey,2025-12-21,2,2,2,Active,,False,3.0,,BD-03,
100,100,Desk Research,2026-03-21,4,3,3,Lost,Owner Not Decision Maker,False,2.0,,BD-04,
101,101,Referral,2025-12-31,1,6,6,Lost,Exclusivity Refused,True,4.0,,BD-05,
102,102,Broker,2025-12-21,2,6,6,Lost,Exclusivity Refused,True,3.0,,BD-06,
103,103,Field Survey,2026-01-31,4,3,3,Lost,Owner Not Decision Maker,False,3.0,,BD-01,
104,104,Cold Call,,0,1,1,Active,,False,,,BD-02,
105,105,Desk Research,2025-12-10,2,2,2,Lost,Commission Too Low,False,3.0,,BD-03,
106,106,Cold Call,2026-01-10,1,5,5,Lost,Owner Not Decision Maker,False,2.0,,BD-04,
107,107,Field Survey,,0,1,1,Active,,False,,,BD-05,
108,108,Inbound Enquiry,2026-01-27,3,3,3,Lost,Wants Fixed Rent,False,3.0,,BD-06,
109,109,Cold Call,,0,1,1,Active,,False,,,BD-01,
110,110,Inbound Enquiry,2026-01-03,2,3,3,Lost,Competitor Signed,False,3.0,,BD-02,
111,111,Partner Network,2026-04-01,4,3,3,Lost,Commission Too Low,False,2.0,,BD-03,
112,112,Desk Research,2025-10-18,5,4,4,Lost,Owner Not Decision Maker,False,3.0,,BD-04,
113,113,Cold Call,2025-08-08,3,2,2,Lost,Owner Not Decision Maker,False,2.0,,BD-05,
114,114,Desk Research,2026-02-02,3,5,5,Lost,Documentation Unavailable,False,2.0,,BD-06,
115,115,Partner Network,2026-05-03,4,7,7,Won,,True,4.0,2026-06-22,BD-01,50.0
116,116,Cold Call,2025-08-14,3,2,2,Lost,Commission Too Low,False,3.0,,BD-02,
117,117,Desk Research,2025-09-18,6,6,6,Lost,Owner Not Decision Maker,True,2.0,,BD-03,
118,118,Referral,2026-01-19,6,6,6,Lost,Owner Not Decision Maker,True,3.0,,BD-04,
119,119,Referral,2025-11-21,1,3,3,Lost,Commission Too Low,False,2.0,,BD-05,
120,120,Partner Network,2025-12-12,6,7,7,Won,,True,4.0,2026-01-11,BD-06,30.0
