event_id,lead_id,stage_id,event_date,channel
59,17,4,2025-12-16,WhatsApp
60,17,5,2025-12-20,WhatsApp
61,17,6,2026-01-15,Phone
62,17,7,2026-01-20,Phone
63,18,1,2025-11-22,Email
64,18,2,2025-11-24,Phone
65,18,3,2025-11-27,Video Call
66,19,1,2025-09-11,Video Call
67,19,2,2025-09-14,Phone
68,19,3,2025-10-04,Email
69,19,4,2025-10-10,In-Person
70,20,1,2025-11-11,Phone
71,20,2,2025-11-12,Phone
72,21,1,2025-09-21,Phone
73,21,2,2025-09-22,Phone
74,21,3,2025-10-01,Phone
75,21,4,2025-10-07,Email
76,21,5,2025-10-17,Phone
77,21,6,2025-10-29,Email
78,22,1,2026-02-10,In-Person
79,22,2,2026-02-16,Phone
80,22,3,2026-03-13,In-Person
81,22,4,2026-03-16,In-Person
82,22,5,2026-03-25,WhatsApp
83,22,6,2026-04-03,Video Call
84,22,7,2026-04-13,Video Call
85,23,1,2025-08-05,WhatsApp
86,23,2,2025-08-13,Phone
87,23,3,2025-08-23,Email
88,23,4,2025-09-07,Video Call
89,23,5,2025-09-20,In-Person
90,23,6,2025-10-08,WhatsApp
91,23,7,2025-10-25,WhatsApp
92,24,1,2025-08-23,Email
93,25,1,2025-08-07,In-Person
94,25,2,2025-08-14,Phone
95,25,3,2025-08-17,Video Call
96,26,1,2025-08-14,WhatsApp
97,26,2,2025-08-17,Phone
98,26,3,2025-09-05,WhatsApp
99,26,4,2025-09-14,Email
100,27,1,2025-10-07,Video Call
101,27,2,2025-10-13,Phone
102,27,3,2025-10-20,Video Call
103,28,1,2026-04-11,WhatsApp
104,28,2,2026-04-12,Phone
105,29,1,2026-04-06,WhatsApp
106,30,1,2026-02-26,In-Person
107,30,2,2026-03-06,Phone
108,30,3,2026-03-11,In-Person
109,30,4,2026-03-16,Phone
110,31,1,2026-04-16,In-Person
111,31,2,2026-04-20,Phone
112,32,1,2025-12-22,Video Call
113,32,2,2025-12-24,Phone
114,32,3,2026-01-05,Email
115,32,4,2026-01-29,In-Person
116,33,1,2025-12-17,Email
117,33,2,2025-12-19,Phone
118,33,3,2025-12-27,In-Person
119,34,1,2025-09-12,WhatsApp
120,34,2,2025-09-14,Phone
121,35,1,2025-12-02,Phone
122,35,2,2025-12-06,Phone
123,36,1,2026-01-24,Email
124,36,2,2026-01-31,Phone
125,36,3,2026-02-27,Phone
126,37,1,2025-09-05,In-Person
127,38,1,2026-03-05,Video Call
128,38,2,2026-03-08,Phone
129,39,1,2026-03-03,In-Person
130,40,1,2025-09-14,Phone
131,41,1,2026-03-08,In-Person
132,41,2,2026-03-10,Phone
133,41,3,2026-03-20,WhatsApp
134,41,4,2026-03-22,Email
135,41,5,2026-04-10,In-Person
136,42,1,2025-08-15,Email
137,42,2,2025-08-16,Phone
138,42,3,2025-08-21,Video Call
139,42,4,2025-09-08,WhatsApp
140,42,5,2025-09-19,WhatsApp
141,43,1,2025-09-17,Email
142,43,2,2025-09-18,Phone
143,43,3,2025-09-25,Video Call
144,43,4,2025-09-26,WhatsApp
145,43,5,2025-10-17,Phone
146,44,1,2025-12-31,Email
147,44,2,2026-01-05,Phone
148,44,3,2026-01-09,Video Call
149,44,4,2026-01-14,Email
150,44,5,2026-01-25,Video Call
151,45,1,2026-04-23,Phone
152,45,2,2026-04-27,Phone
153,45,3,2026-05-03,WhatsApp
154,45,4,2026-05-08,In-Person
155,46,1,2026-02-24,Video Call
156,46,2,2026-03-01,Phone
157,46,3,2026-03-06,Phone
158,46,4,2026-03-10,Phone
159,47,1,2025-12-31,Video Call
160,47,2,2026-01-10,Phone
161,48,1,2026-03-26,Email
162,48,2,2026-04-01,Phone
163,49,1,2026-04-27,Video Call
164,49,2,2026-04-30,Phone
165,50,1,2026-04-05,Phone
166,51,1,2025-09-13,WhatsApp
167,51,2,2025-09-17,Phone
168,51,3,2025-09-27,Email
169,52,1,2026-04-19,In-Person
170,52,2,2026-04-24,Phone
171,52,3,2026-04-26,WhatsApp
172,52,4,2026-04-29,Phone
173,52,5,2026-05-10,Email
174,53,1,2025-09-09,Video Call
175,53,2,2025-09-14,Phone
176,54,1,2026-01-30,Video Call
177,54,2,2026-01-31,Phone
178,55,1,2026-02-11,In-Person
179,56,1,2025-11-05,WhatsApp
180,56,2,2025-11-11,Phone
181,56,3,2025-11-26,Phone
182,56,4,2025-11-30,Email
183,57,1,2025-08-09,WhatsApp
184,57,2,2025-08-13,Phone
185,57,3,2025-08-19,Phone
186,58,1,2025-10-14,Email
187,58,2,2025-10-22,Phone
188,59,1,2026-04-18,Email
189,59,2,2026-04-25,Phone
190,60,1,2025-10-22,Email
191,60,2,2025-10-31,Phone
192,61,1,2025-12-05,WhatsApp
193,62,1,2026-01-21,In-Person
194,62,2,2026-01-22,Phone
195,63,1,2025-10-21,WhatsApp
196,63,2,2025-10-22,Phone
197,63,3,2025-10-30,Email
198,63,4,2025-11-01,In-Person
199,64,1,2026-03-19,WhatsApp
200,64,2,2026-03-20,Phone
201,64,3,2026-04-01,WhatsApp
202,64,4,2026-04-11,WhatsApp
203,64,5,2026-04-19,WhatsApp
204,64,6,2026-04-30,WhatsApp
205,64,7,2026-05-11,In-Person
206,65,1,2025-12-27,Phone
207,65,2,2025-12-29,Phone
208,65,3,2026-01-09,WhatsApp
209,66,1,2025-11-23,In-Person
210,66,2,2025-11-25,Phone
211,67,1,2025-10-12,Phone
212,67,2,2025-10-15,Phone
213,67,3,2025-10-21,In-Person
214,67,4,2025-10-27,Video Call
215,67,5,2025-11-10,In-Person
216,67,6,2025-11-15,Email
217,68,1,2025-12-01,WhatsApp
218,69,1,2025-09-21,Phone
219,70,1,2025-09-21,In-Person
220,71,1,2025-10-12,WhatsApp
221,71,2,2025-10-20,Phone
222,71,3,2025-10-22,WhatsApp
223,72,1,2025-08-13,Phone
224,72,2,2025-08-16,Phone
225,73,1,2026-02-20,In-Person
226,74,1,2026-04-18,WhatsApp
227,75,1,2025-12-12,WhatsApp
228,75,2,2025-12-20,Phone
229,76,1,2025-09-22,In-Person
230,77,1,2026-01-13,Email
231,77,2,2026-01-16,Phone
232,77,3,2026-01-26,In-Person
233,77,4,2026-02-14,Email
234,77,5,2026-02-18,WhatsApp
235,77,6,2026-03-14,WhatsApp
236,78,1,2025-10-16,Phone
237,78,2,2025-10-20,Phone
238,78,3,2025-10-30,Video Call
239,79,1,2026-02-14,Email
240,79,2,2026-02-17,Phone
241,80,1,2025-10-31,Video Call
242,81,1,2025-11-01,Email
243,81,2,2025-11-05,Phone
244,82,1,2025-11-11,Video Call
245,82,2,2025-11-19,Phone
246,83,1,2026-01-11,Video Call
247,84,1,2026-04-14,Email
248,84,2,2026-04-19,Phone
249,84,3,2026-05-01,Phone
250,84,4,2026-05-16,In-Person
251,84,5,2026-05-18,Email
252,84,6,2026-06-16,Video Call
253,84,7,2026-06-23,Video Call
254,85,1,2025-08-28,Phone
255,85,2,2025-08-29,Phone
256,85,3,2025-09-06,In-Person
257,86,1,2026-04-23,Video Call
258,86,2,2026-04-24,Phone
259,86,3,2026-04-25,Video Call
260,86,4,2026-05-17,Phone
261,87,1,2026-02-10,Phone
262,87,2,2026-02-11,Phone
263,87,3,2026-02-20,Phone
264,87,4,2026-03-03,In-Person
265,87,5,2026-03-17,In-Person
266,87,6,2026-04-01,Email
267,88,1,2025-09-19,Phone
268,88,2,2025-09-21,Phone
269,88,3,2025-10-06,WhatsApp
270,89,1,2026-02-07,Email
271,90,1,2026-01-22,Email
272,90,2,2026-01-23,Phone
273,91,1,2026-01-28,In-Person
274,92,1,2025-11-11,In-Person
275,92,2,2025-11-14,Phone
276,92,3,2025-11-21,In-Person
277,93,1,2025-08-16,Phone
278,93,2,2025-08-18,Phone
279,93,3,2025-08-26,In-Person
280,93,4,2025-08-30,Email
281,93,5,2025-09-13,Email
282,93,6,2025-10-10,WhatsApp
283,94,1,2025-10-24,Video Call
284,94,2,2025-10-29,Phone
285,94,3,2025-11-04,In-Person
286,94,4,2025-11-12,WhatsApp
287,94,5,2025-11-22,Phone
288,94,6,2025-11-26,Video Call
289,95,1,2025-11-18,Phone
290,95,2,2025-11-20,Phone
291,95,3,2025-12-16,In-Person
292,95,4,2025-12-22,Video Call
293,95,5,2026-01-02,Video Call
294,95,6,2026-01-23,WhatsApp
295,95,7,2026-02-05,Video Call
296,96,1,2026-01-21,Video Call
297,96,2,2026-01-26,Phone
298,96,3,2026-02-03,In-Person
299,96,4,2026-02-13,In-Person
300,96,5,2026-02-17,WhatsApp
301,96,6,2026-03-08,WhatsApp
302,97,1,2025-10-01,Video Call
303,97,2,2025-10-03,Phone
304,98,1,2026-04-15,WhatsApp
305,99,1,2025-12-16,In-Person
306,99,2,2025-12-21,Phone
307,100,1,2026-03-18,Phone
308,100,2,2026-03-21,Phone
309,100,3,2026-03-24,Phone
310,101,1,2025-12-30,In-Person
311,101,2,2025-12-31,Phone
312,101,3,2026-01-18,In-Person
313,101,4,2026-01-22,In-Person
314,101,5,2026-02-02,Email
315,101,6,2026-03-06,Phone
316,102,1,2025-12-19,WhatsApp
317,102,2,2025-12-21,Phone
318,102,3,2026-01-03,Phone
319,102,4,2026-01-06,In-Person
320,102,5,2026-01-20,In-Person
321,102,6,2026-01-29,In-Person
322,103,1,2026-01-28,Email
323,103,2,2026-01-31,Phone
324,103,3,2026-02-13,Email
325,104,1,2026-01-13,Email
326,105,1,2025-12-06,In-Person
327,105,2,2025-12-10,Phone
328,106,1,2026-01-09,WhatsApp
329,106,2,2026-01-10,Phone
330,106,3,2026-01-20,In-Person
331,106,4,2026-01-25,Phone
332,106,5,2026-02-14,Email
333,107,1,2025-12-07,In-Person
334,108,1,2026-01-23,WhatsApp
335,108,2,2026-01-27,Phone
336,108,3,2026-02-02,Video Call
337,109,1,2026-03-15,WhatsApp
338,110,1,2025-12-27,WhatsApp
339,110,2,2026-01-03,Phone
340,110,3,2026-01-06,WhatsApp
341,111,1,2026-03-28,WhatsApp
342,111,2,2026-04-01,Phone
343,111,3,2026-04-03,WhatsApp
344,112,1,2025-10-17,In-Person
345,112,2,2025-10-18,Phone
346,112,3,2025-10-22,In-Person
347,112,4,2025-10-25,Video Call
348,113,1,2025-08-04,Video Call
349,113,2,2025-08-08,Phone
350,114,1,2026-01-31,Phone
351,114,2,2026-02-02,Phone
352,114,3,2026-02-18,Phone
353,114,4,2026-02-24,Email
354,114,5,2026-02-27,Phone
355,115,1,2026-04-28,Video Call
356,115,2,2026-05-03,Phone
357,115,3,2026-05-10,In-Person
358,115,4,2026-05-18,WhatsApp
359,115,5,2026-06-11,Email
360,115,6,2026-06-18,Video Call
361,115,7,2026-06-22,In-Person
362,116,1,2025-08-13,Phone
363,116,2,2025-08-14,Phone
364,117,1,2025-09-14,WhatsApp
365,117,2,2025-09-18,Phone
366,117,3,2025-09-20,Phone
367,117,4,2025-10-07,Video Call
368,117,5,2025-10-11,In-Person
369,117,6,2025-10-19,Email
370,118,1,2026-01-15,WhatsApp
371,118,2,2026-01-19,Phone
372,118,3,2026-01-30,Video Call
373,118,4,2026-02-08,WhatsApp
374,118,5,2026-02-14,Video Call
375,118,6,2026-02-28,WhatsApp
376,119,1,2025-11-18,Email
377,119,2,2025-11-21,Phone
378,119,3,2025-11-22,Phone
379,120,1,2025-12-11,Email
380,120,2,2025-12-12,Phone
381,120,3,2025-12-24,Video Call
382,120,4,2025-12-27,WhatsApp
383,120,5,2025-12-30,WhatsApp
384,120,6,2026-01-05,Phone
385,120,7,2026-01-11,In-Person
