parking_id,activity_date,peak_occupancy_rate,avg_occupancy_rate,vehicle_entries,platform_bookings,booking_cancellations,gross_parking_revenue_inr,avg_park_duration_hours
67,2025-08-01,0.3829,0.2535,209,28,2,40983.82,5.85
68,2025-08-01,0.586,0.4297,712,114,6,135094.34,5.63
69,2025-08-01,0.4578,0.2938,66,14,0,18969.42,5.71
70,2025-08-01,0.3545,0.2135,44,2,0,7928.05,5.49
71,2025-08-01,0.1882,0.0493,57,4,0,13347.9,6.04
72,2025-08-01,0.4198,0.3126,1000,150,8,96401.15,2.43
73,2025-08-01,0.3496,0.1745,142,17,0,13296.62,2.77
74,2025-08-01,0.3033,0.1348,277,36,0,19512.3,3.29
75,2025-08-01,0.3757,0.2387,858,111,9,107356.67,2.46
76,2025-08-01,0.3969,0.2404,89,7,0,4480.78,2.33
77,2025-08-01,0.4467,0.2795,276,30,2,27137.2,2.89
78,2025-08-01,0.4404,0.2365,137,15,1,13409.78,2.44
79,2025-08-01,0.456,0.2112,80,13,1,3922.2,2.15
80,2025-08-01,0.5153,0.3822,432,44,2,29941.71,2.58
81,2025-08-01,0.3753,0.1909,56,3,0,5919.73,3.42
82,2025-08-01,0.5895,0.3701,118,10,1,12994.44,2.98
83,2025-08-01,0.6103,0.4898,909,131,9,110665.83,2.46
84,2025-08-01,0.4951,0.2966,1187,153,4,120001.36,2.73
85,2025-08-01,0.5634,0.3808,275,56,0,25692.31,2.58
86,2025-08-01,0.5164,0.3298,138,24,0,21962.13,2.97
87,2025-08-01,0.4395,0.3255,415,46,4,63157.92,5.79
88,2025-08-01,0.3568,0.2294,183,19,0,35648.16,5.65
89,2025-08-01,0.4551,0.2501,74,9,0,18392.16,5.87
90,2025-08-01,0.4907,0.3197,356,43,1,67342.42,6.11
91,2025-08-01,0.1624,0.035,5,0,0,1054.01,5.58
92,2025-08-01,0.4099,0.2525,70,2,0,13984.83,5.49
93,2025-08-01,0.4474,0.3472,145,23,2,31034.62,5.63
94,2025-08-01,0.2784,0.035,13,0,0,2378.28,5.52
95,2025-08-01,0.5074,0.3485,418,60,3,85440.42,5.69
96,2025-08-01,0.2867,0.1523,92,13,0,15907.98,5.61
97,2025-08-01,0.6049,0.4548,181,28,0,11121.43,2.1
98,2025-08-01,0.2837,0.1679,279,28,4,28729.31,2.3
99,2025-08-01,0.4946,0.3336,691,66,3,47817.22,2.55
100,2025-08-01,0.4703,0.3152,433,49,4,22661.41,1.94
101,2025-08-01,0.4404,0.3155,368,32,1,80972.91,5.97
102,2025-08-01,0.5536,0.3952,187,24,1,56963.98,4.83
103,2025-08-01,0.2995,0.1568,44,3,0,8489.72,5.35
104,2025-08-01,0.5929,0.4589,553,67,1,111870.07,5.21
105,2025-08-01,0.5302,0.4138,573,66,4,36792.67,5.5
106,2025-08-01,0.446,0.3306,309,41,2,37910.86,5.17
107,2025-08-01,0.3966,0.2101,77,10,0,28320.01,5.92
108,2025-08-01,0.5372,0.3835,147,19,1,17706.8,5.44
109,2025-08-01,0.489,0.3599,34,4,2,4856.5,5.92
110,2025-08-01,0.384,0.2172,121,17,1,15420.08,4.95
111,2025-08-01,0.4081,0.2675,125,9,0,11296.6,4.18
112,2025-08-01,0.3725,0.2303,163,12,3,16367.07,4.78
113,2025-08-01,0.4173,0.2552,75,6,0,11973.53,5.66
114,2025-08-01,0.4319,0.26,115,13,1,13977.45,4.94
115,2025-08-01,0.2343,0.1377,36,2,0,3721.43,5.11
116,2025-08-01,0.3442,0.1958,72,6,0,7795.41,3.32
117,2025-08-01,0.4612,0.3625,321,46,1,25039.16,2.81
118,2025-08-01,0.4395,0.3047,1188,129,6,93763.35,2.69
119,2025-08-01,0.4283,0.2163,103,15,0,5734.53,2.26
120,2025-08-01,0.4122,0.2465,290,43,4,27269.78,2.44
1,2025-08-02,0.5566,0.3519,454,108,8,104054.42,2.81
2,2025-08-02,0.3439,0.2011,602,114,14,105602.74,2.35
3,2025-08-02,0.3779,0.2604,134,24,1,27211.65,2.41
4,2025-08-02,0.5509,0.4038,383,71,8,58394.43,2.59
5,2025-08-02,0.4779,0.3292,254,32,1,27088.28,2.52
6,2025-08-02,0.5513,0.3904,1113,241,23,167352.8,2.41
7,2025-08-02,0.5181,0.2585,115,26,2,18236.28,2.85
8,2025-08-02,0.578,0.4128,529,100,8,108656.92,2.19
9,2025-08-02,0.4756,0.3164,210,34,0,35652.23,2.6
10,2025-08-02,0.4138,0.2141,101,17,2,13280.88,2.67
11,2025-08-02,0.2222,0.035,35,5,0,4449.01,2.66
12,2025-08-02,0.6586,0.4903,407,76,5,56860.48,2.81
13,2025-08-02,0.6058,0.45,1738,311,20,202892.01,2.74
14,2025-08-02,0.4327,0.2746,391,92,7,35934.2,2.97
15,2025-08-02,0.5304,0.3285,867,184,13,108270.16,3.45
16,2025-08-02,0.4827,0.3104,478,115,10,60515.39,3.52
17,2025-08-02,0.6059,0.369,567,118,12,63366.64,2.41
18,2025-08-02,0.577,0.4536,1255,246,8,140677.17,2.73
19,2025-08-02,0.5346,0.3306,475,82,10,72120.5,3.31
20,2025-08-02,0.5687,0.3826,263,28,1,26973.19,2.85
21,2025-08-02,0.5583,0.4311,1176,252,14,161300.61,2.6
22,2025-08-02,0.5874,0.4417,1536,248,13,233450.7,2.61
23,2025-08-02,0.6085,0.3641,388,69,7,38174.78,2.67
24,2025-08-02,0.4138,0.2461,166,34,3,12352.38,2.54
25,2025-08-02,0.2915,0.1128,84,10,0,9072.08,2.97
26,2025-08-02,0.4894,0.3019,783,136,8,59955.0,3.04
27,2025-08-02,0.4576,0.3714,557,88,10,34165.64,2.97
28,2025-08-02,0.3422,0.2268,172,22,0,36094.73,3.46
29,2025-08-02,0.496,0.3638,399,58,8,66794.18,3.05
30,2025-08-02,0.5336,0.3727,226,27,4,26253.21,3.19
31,2025-08-02,0.4024,0.2373,409,75,7,22474.93,3.51
32,2025-08-02,0.7345,0.473,576,64,4,43163.4,2.7
33,2025-08-02,0.377,0.27,333,26,4,63349.27,6.69
34,2025-08-02,0.511,0.3741,352,32,1,55040.84,6.0
35,2025-08-02,0.4422,0.271,43,9,1,9441.21,6.12
36,2025-08-02,0.3472,0.2401,428,65,8,25922.28,1.67
37,2025-08-02,0.5472,0.3789,538,48,1,38119.56,2.03
38,2025-08-02,0.5058,0.373,353,31,3,28175.93,2.47
39,2025-08-02,0.4565,0.3464,239,27,0,12911.66,2.09
40,2025-08-02,0.5952,0.4618,824,91,7,124920.64,2.51
41,2025-08-02,0.722,0.4898,1706,345,22,162508.04,1.93
42,2025-08-02,0.6428,0.452,347,41,6,27902.64,2.28
43,2025-08-02,0.767,0.6291,853,125,11,141951.64,2.39
44,2025-08-02,0.5741,0.4732,366,70,3,43464.27,2.32
45,2025-08-02,0.465,0.347,2625,438,41,177110.03,1.9
46,2025-08-02,0.8305,0.6248,1436,247,14,75916.69,2.06
47,2025-08-02,0.5184,0.3146,250,26,0,20938.87,1.83
48,2025-08-02,0.9255,0.7366,263,27,1,21835.04,2.41
49,2025-08-02,0.9394,0.7507,528,73,7,25731.84,2.09
50,2025-08-02,0.7323,0.5767,346,39,6,26353.07,2.08
51,2025-08-02,0.8948,0.7597,460,92,8,22498.21,1.78
52,2025-08-02,0.9186,0.7527,2008,406,30,148350.62,2.44
53,2025-08-02,0.2404,0.0791,88,18,2,7948.59,2.56
54,2025-08-02,0.4311,0.2158,138,9,2,10009.81,1.83
55,2025-08-02,0.8429,0.6976,1217,224,29,96940.73,2.3
56,2025-08-02,0.429,0.2567,407,29,1,17646.21,2.32
57,2025-08-02,0.4499,0.3316,125,16,1,19000.5,5.28
58,2025-08-02,0.463,0.3019,35,1,0,2910.71,5.51
59,2025-08-02,0.3242,0.2265,196,18,1,23333.35,5.07
60,2025-08-02,0.5341,0.4135,128,11,3,18852.71,5.52
61,2025-08-02,0.4425,0.292,231,20,2,24945.43,5.01
62,2025-08-02,0.2826,0.1267,48,4,0,16443.76,5.15
63,2025-08-02,0.3708,0.2462,139,22,2,48552.68,5.42
64,2025-08-02,0.2161,0.0593,27,2,0,7120.37,4.68
65,2025-08-02,0.219,0.0831,56,8,0,11588.48,5.31
66,2025-08-02,0.3827,0.2337,117,15,1,17263.33,5.07
67,2025-08-02,0.3323,0.1687,159,33,2,30762.42,5.02
68,2025-08-02,0.3625,0.253,468,91,7,96300.37,5.44
69,2025-08-02,0.2846,0.0882,30,2,0,8812.75,5.04
70,2025-08-02,0.3098,0.1688,44,8,2,4919.71,3.99
71,2025-08-02,0.2066,0.035,50,4,1,9815.62,5.66
72,2025-08-02,0.461,0.3489,1043,161,15,89464.05,2.52
73,2025-08-02,0.5106,0.3328,207,29,3,24651.79,3.17
74,2025-08-02,0.354,0.2434,574,89,9,28390.46,3.16
75,2025-08-02,0.414,0.2376,752,104,13,78799.95,2.61
76,2025-08-02,0.4539,0.2647,117,7,1,5895.96,2.35
77,2025-08-02,0.4675,0.3275,323,23,0,34430.07,2.84
78,2025-08-02,0.4953,0.3347,104,13,0,12178.4,3.71
79,2025-08-02,0.2637,0.1602,30,7,0,1847.12,3.36
80,2025-08-02,0.5939,0.4221,371,43,5,33663.08,3.26
81,2025-08-02,0.3168,0.2286,90,13,3,6745.3,2.76
82,2025-08-02,0.4472,0.278,87,11,1,10045.41,3.17
83,2025-08-02,0.4856,0.3199,449,77,6,82294.35,3.12
84,2025-08-02,0.3339,0.2105,760,98,11,78792.39,2.86
85,2025-08-02,0.337,0.2113,143,23,2,13073.16,2.73
86,2025-08-02,0.4681,0.333,124,18,1,22538.12,3.45
87,2025-08-02,0.3031,0.15,205,26,2,28882.61,4.81
88,2025-08-02,0.2976,0.146,128,20,1,16744.54,4.9
89,2025-08-02,0.3478,0.1829,41,8,0,10225.18,5.39
90,2025-08-02,0.2516,0.0826,115,16,2,14634.43,5.37
91,2025-08-02,0.1892,0.0746,14,0,0,3286.6,5.66
92,2025-08-02,0.3403,0.2151,60,2,0,13642.28,5.12
93,2025-08-02,0.2345,0.0984,45,5,1,8616.46,5.45
94,2025-08-02,0.2018,0.035,14,1,0,2110.38,4.78
95,2025-08-02,0.2348,0.1049,133,22,1,18284.95,4.81
96,2025-08-02,0.1686,0.035,31,7,0,4677.47,4.92
97,2025-08-02,0.5861,0.4376,175,28,4,12707.75,2.33
98,2025-08-02,0.3944,0.2193,395,37,3,51948.37,2.13
99,2025-08-02,0.6031,0.4225,1185,106,11,57523.88,1.94
100,2025-08-02,0.6125,0.5345,665,57,8,40756.43,2.07
101,2025-08-02,0.398,0.2148,268,19,0,55117.62,5.1
102,2025-08-02,0.4975,0.3406,138,16,2,53275.85,5.09
103,2025-08-02,0.3582,0.1773,41,3,2,7096.68,5.31
104,2025-08-02,0.3574,0.2289,306,35,3,51640.49,5.05
105,2025-08-02,0.3333,0.2117,291,29,5,20309.52,5.78
106,2025-08-02,0.381,0.2594,182,24,4,31748.25,6.49
107,2025-08-02,0.4151,0.2762,92,6,0,24616.54,6.04
108,2025-08-02,0.4144,0.2821,96,9,0,14470.69,6.0
109,2025-08-02,0.4037,0.2428,28,2,0,4996.16,6.47
110,2025-08-02,0.4002,0.2352,151,19,1,18302.88,5.29
111,2025-08-02,0.5212,0.344,117,14,3,12885.13,5.09
112,2025-08-02,0.452,0.2531,177,12,0,20481.15,5.1
113,2025-08-02,0.4167,0.1861,51,10,0,6775.25,4.76
114,2025-08-02,0.3349,0.2203,74,11,2,8272.28,5.41
115,2025-08-02,0.2887,0.1504,38,4,0,3788.05,5.66
116,2025-08-02,0.3051,0.1553,59,6,0,4059.17,3.08
117,2025-08-02,0.5373,0.357,290,33,1,21576.26,2.66
118,2025-08-02,0.5367,0.4062,1409,141,12,127914.53,3.03
119,2025-08-02,0.3113,0.2441,74,7,1,5862.44,3.23
120,2025-08-02,0.4647,0.3124,290,37,2,34040.6,3.08
1,2025-08-03,0.5174,0.3667,486,113,9,89305.15,2.9
2,2025-08-03,0.4046,0.2295,610,122,14,112414.16,2.58
3,2025-08-03,0.533,0.3838,204,40,4,68879.92,2.74
4,2025-08-03,0.5832,0.4056,439,90,9,61159.96,2.5
5,2025-08-03,0.458,0.3049,154,21,2,23834.46,3.52
6,2025-08-03,0.5417,0.3988,1102,223,22,177549.57,2.49
7,2025-08-03,0.5682,0.3822,157,34,3,35035.43,3.06
8,2025-08-03,0.5947,0.4069,402,73,9,102480.0,2.82
9,2025-08-03,0.498,0.3386,251,28,3,33986.63,2.39
10,2025-08-03,0.4709,0.3612,207,29,3,27607.67,2.39
11,2025-08-03,0.1864,0.035,30,5,1,4369.48,2.71
12,2025-08-03,0.5291,0.3655,220,38,2,34054.67,3.36
13,2025-08-03,0.5625,0.4197,1450,257,18,188171.24,3.09
14,2025-08-03,0.5714,0.3932,663,130,11,67633.18,2.67
15,2025-08-03,0.4934,0.2951,893,159,13,113755.14,3.0
16,2025-08-03,0.462,0.3114,532,115,12,64765.88,3.14
17,2025-08-03,0.5222,0.3839,464,85,5,74918.46,3.06
18,2025-08-03,0.6819,0.5123,1358,281,15,145223.4,2.88
19,2025-08-03,0.5139,0.3581,618,102,6,87946.15,2.79
20,2025-08-03,0.4984,0.3501,187,22,1,25201.93,3.13
21,2025-08-03,0.6192,0.4875,908,205,14,191884.6,4.04
22,2025-08-03,0.45,0.2542,753,126,11,93799.25,2.87
23,2025-08-03,0.502,0.3614,345,52,7,37790.35,3.33
24,2025-08-03,0.3773,0.2787,188,33,1,15585.43,2.64
25,2025-08-03,0.4788,0.3047,247,35,3,23996.03,2.81
26,2025-08-03,0.4866,0.3936,981,173,14,84585.48,3.09
27,2025-08-03,0.4659,0.3425,564,91,9,34090.35,2.71
28,2025-08-03,0.3611,0.2549,236,32,3,36889.88,2.83
29,2025-08-03,0.6617,0.4386,534,55,7,65514.59,2.49
30,2025-08-03,0.478,0.3118,163,22,2,17812.86,2.82
31,2025-08-03,0.3691,0.2252,516,103,10,27552.81,2.81
32,2025-08-03,0.6507,0.544,734,75,8,42947.52,2.66
33,2025-08-03,0.3483,0.2287,266,21,1,49422.47,6.16
34,2025-08-03,0.5624,0.3858,366,39,4,57238.22,5.93
35,2025-08-03,0.3916,0.2422,32,7,1,6519.17,6.22
36,2025-08-03,0.5696,0.3474,465,70,7,28653.64,2.07
37,2025-08-03,0.4413,0.2969,433,43,1,33204.78,1.93
38,2025-08-03,0.4253,0.2422,236,24,4,16248.0,2.29
39,2025-08-03,0.4398,0.2497,154,24,4,8655.76,2.19
40,2025-08-03,0.5207,0.3772,904,123,12,102208.92,1.84
41,2025-08-03,0.7399,0.5824,1674,344,37,210943.67,2.29
42,2025-08-03,0.6762,0.4785,415,53,1,31083.66,2.11
43,2025-08-03,0.8837,0.7101,1407,198,19,157399.31,1.81
44,2025-08-03,0.7673,0.5545,520,75,5,59801.25,2.01
45,2025-08-03,0.6497,0.4633,3000,527,44,257306.2,2.26
46,2025-08-03,0.8128,0.6564,2189,402,34,75402.19,1.4
47,2025-08-03,0.4211,0.2854,277,33,5,22075.22,1.81
48,2025-08-03,0.7162,0.5681,233,34,4,20525.31,2.1
49,2025-08-03,0.6909,0.5849,413,50,12,20162.84,2.15
50,2025-08-03,0.7175,0.5314,279,36,4,18636.19,2.06
51,2025-08-03,0.825,0.7199,321,72,4,21833.08,2.32
52,2025-08-03,0.8073,0.6532,1959,390,22,130667.62,2.09
53,2025-08-03,0.1734,0.1012,122,21,3,13604.89,2.46
54,2025-08-03,0.4509,0.2586,158,16,1,11328.36,2.09
55,2025-08-03,0.758,0.5547,843,148,9,62052.53,2.52
56,2025-08-03,0.5332,0.411,812,75,7,31305.52,1.77
57,2025-08-03,0.4356,0.3229,113,11,2,14885.25,5.2
58,2025-08-03,0.3552,0.2144,27,4,0,2431.86,5.82
59,2025-08-03,0.4528,0.2926,206,22,1,27347.74,5.42
60,2025-08-03,0.3634,0.24,73,5,1,9635.46,4.84
61,2025-08-03,0.4436,0.3392,277,33,3,21040.82,4.6
62,2025-08-03,0.1783,0.0674,22,2,0,6936.42,5.03
63,2025-08-03,0.4536,0.1861,119,14,2,37987.0,4.73
64,2025-08-03,0.3263,0.1479,47,5,1,13138.09,5.53
65,2025-08-03,0.3168,0.1726,124,22,5,21509.97,5.33
66,2025-08-03,0.1659,0.0537,26,2,0,3761.57,5.85
67,2025-08-03,0.2371,0.1024,102,16,3,17529.06,5.47
68,2025-08-03,0.435,0.2698,554,79,6,95355.29,4.42
69,2025-08-03,0.3106,0.149,33,6,0,9981.45,5.24
70,2025-08-03,0.1846,0.0647,9,0,0,1832.94,5.75
71,2025-08-03,0.2239,0.0974,167,8,0,30656.14,4.81
72,2025-08-03,0.5449,0.3957,1079,159,16,112589.14,2.81
73,2025-08-03,0.3399,0.2563,187,24,1,16828.26,2.78
74,2025-08-03,0.3225,0.202,426,75,7,24750.18,3.43
75,2025-08-03,0.4055,0.3091,904,145,12,116570.11,2.93
76,2025-08-03,0.418,0.2432,99,6,0,5776.39,2.61
77,2025-08-03,0.3411,0.2779,295,30,4,27897.79,2.63
78,2025-08-03,0.472,0.2865,123,20,4,7952.8,2.38
79,2025-08-03,0.3731,0.2267,41,6,1,2741.88,2.76
80,2025-08-03,0.4756,0.3275,287,31,0,23225.95,3.27
81,2025-08-03,0.3052,0.2084,84,7,0,8047.05,2.67
82,2025-08-03,0.4208,0.3335,128,7,1,12396.84,2.73
83,2025-08-03,0.4836,0.3038,488,74,7,74306.94,2.89
84,2025-08-03,0.4138,0.2476,1123,118,13,79762.28,2.44
85,2025-08-03,0.3272,0.2296,203,42,3,18022.86,2.67
86,2025-08-03,0.5148,0.3286,122,13,2,20401.29,3.1
87,2025-08-03,0.2909,0.1709,244,33,2,42475.72,5.1
88,2025-08-03,0.2699,0.1099,106,9,0,16354.74,5.14
89,2025-08-03,0.2233,0.0897,37,4,1,8981.05,5.33
90,2025-08-03,0.3282,0.1639,244,29,1,44519.86,5.31
91,2025-08-03,0.2349,0.089,25,2,1,4680.38,4.88
92,2025-08-03,0.1639,0.0658,16,1,0,3451.55,5.66
93,2025-08-03,0.3122,0.1276,74,10,1,12887.05,5.17
94,2025-08-03,0.1157,0.035,16,0,0,2855.01,5.62
95,2025-08-03,0.2066,0.0953,123,13,1,21017.73,5.01
96,2025-08-03,0.2488,0.0621,42,5,0,5452.08,6.22
97,2025-08-03,0.6071,0.4519,178,16,1,10197.55,2.16
98,2025-08-03,0.3347,0.1915,270,15,1,31648.54,2.49
99,2025-08-03,0.5702,0.4471,1214,115,14,67491.95,2.15
100,2025-08-03,0.5482,0.405,611,47,4,34985.45,1.71
101,2025-08-03,0.2803,0.1543,199,17,1,37182.02,5.14
102,2025-08-03,0.297,0.1623,71,9,0,28503.13,5.23
103,2025-08-03,0.2098,0.076,18,1,0,2954.15,4.68
104,2025-08-03,0.3004,0.1838,204,24,1,42980.18,5.62
105,2025-08-03,0.2996,0.1671,226,29,2,17233.33,5.74
106,2025-08-03,0.4273,0.2201,167,15,0,20995.39,5.81
107,2025-08-03,0.3171,0.1392,60,4,0,17589.43,5.84
108,2025-08-03,0.4858,0.2876,86,8,1,14399.28,6.36
109,2025-08-03,0.5575,0.3844,37,4,0,6466.27,6.31
110,2025-08-03,0.3715,0.1681,90,12,1,11088.67,5.09
111,2025-08-03,0.5175,0.357,136,13,1,13746.83,4.8
112,2025-08-03,0.421,0.2406,181,20,3,14133.17,4.69
113,2025-08-03,0.3925,0.2689,85,6,0,11506.2,4.72
114,2025-08-03,0.3787,0.2392,97,9,0,10712.55,5.27
115,2025-08-03,0.2113,0.0947,22,1,1,2243.55,4.93
116,2025-08-03,0.3641,0.243,118,13,1,7676.76,2.38
117,2025-08-03,0.6556,0.4824,403,55,1,31327.06,2.94
118,2025-08-03,0.5439,0.3606,1256,104,11,123960.3,2.99
119,2025-08-03,0.3963,0.2214,80,14,1,4859.63,2.86
120,2025-08-03,0.5274,0.3341,378,60,7,46556.44,2.63
1,2025-08-04,0.8558,0.6639,1045,190,7,178639.67,2.48
2,2025-08-04,0.5672,0.4218,1501,294,6,179070.73,1.93
3,2025-08-04,0.7745,0.675,401,88,7,89563.62,2.37
4,2025-08-04,0.8207,0.6745,663,133,4,80667.24,2.63
5,2025-08-04,0.8433,0.6884,393,66,1,57338.89,3.13
6,2025-08-04,0.8139,0.6113,1478,322,11,278656.82,2.8
7,2025-08-04,0.6096,0.4803,208,42,1,46394.35,2.85
8,2025-08-04,0.8124,0.6604,651,107,3,132809.05,2.63
9,2025-08-04,0.672,0.5339,462,82,2,61612.61,2.01
10,2025-08-04,0.6484,0.5024,212,29,1,34080.04,3.08
11,2025-08-04,0.3822,0.2076,221,41,1,24700.21,2.38
12,2025-08-04,0.7288,0.5434,424,96,3,52198.44,2.75
13,2025-08-04,0.5767,0.4438,1587,256,13,205477.15,2.91
14,2025-08-04,0.5402,0.3027,496,84,5,46927.26,2.65
15,2025-08-04,0.6318,0.4753,1476,263,17,161653.13,2.73
16,2025-08-04,0.7595,0.5769,1105,240,8,150549.22,2.82
17,2025-08-04,0.7646,0.5879,669,138,6,97250.57,3.28
18,2025-08-04,0.9196,0.7369,1634,341,13,256422.66,3.27
19,2025-08-04,0.6556,0.5479,1001,162,9,120166.75,2.62
20,2025-08-04,0.5913,0.4061,252,29,1,36122.6,2.83
21,2025-08-04,0.7176,0.5222,1239,261,13,214803.05,3.12
22,2025-08-04,0.6833,0.4751,1492,225,12,160711.45,3.01
23,2025-08-04,0.3653,0.2432,254,46,2,27857.23,2.81
24,2025-08-04,0.3808,0.2243,164,27,1,13408.66,2.6
25,2025-08-04,0.4583,0.3281,292,30,2,27244.59,2.48
26,2025-08-04,0.5006,0.3288,1196,177,8,62700.53,2.21
27,2025-08-04,0.3469,0.2264,361,43,1,16848.77,2.7
28,2025-08-04,0.4606,0.3007,288,40,4,44360.34,2.5
29,2025-08-04,0.4676,0.3388,557,54,4,49552.85,1.96
30,2025-08-04,0.488,0.3247,213,32,1,26311.87,2.69
31,2025-08-04,0.376,0.2456,560,90,2,25704.97,2.65
32,2025-08-04,0.6389,0.4499,531,62,5,38533.15,2.98
33,2025-08-04,0.3829,0.2057,255,18,0,37451.48,6.01
34,2025-08-04,0.7773,0.5537,549,61,0,89936.99,5.51
35,2025-08-04,0.5288,0.3317,65,10,0,12737.89,5.61
36,2025-08-04,0.4614,0.2868,305,38,3,28596.72,2.47
37,2025-08-04,0.4079,0.2702,377,41,1,30738.55,2.16
38,2025-08-04,0.3398,0.2442,232,29,3,21826.52,2.11
39,2025-08-04,0.3077,0.1592,135,15,1,7871.72,1.88
40,2025-08-04,0.5166,0.3516,834,96,5,107218.91,1.78
41,2025-08-04,0.654,0.5475,1605,324,10,228648.12,2.33
42,2025-08-04,0.6302,0.4355,435,78,2,27589.77,1.93
43,2025-08-04,0.653,0.4522,698,107,4,101783.11,2.23
44,2025-08-04,0.6179,0.5139,366,76,2,58840.55,2.67
45,2025-08-04,0.4445,0.2712,2359,410,21,142855.29,1.7
46,2025-08-04,0.669,0.5439,1241,245,13,60704.17,2.2
47,2025-08-04,0.3748,0.2419,281,39,2,19166.68,1.53
48,2025-08-04,0.751,0.5661,256,29,1,18504.48,1.93
