parking_id,lot_code,lot_name,locality_id,owner_id,latitude,longitude,parking_type,surface_type,capacity_cars,hourly_rate_inr,monthly_pass_inr,is_24x7,opens_at,closes_at,has_covered_parking,has_security_staff,has_cctv,record_source,source_name,source_reference,source_observed_on,data_quality_flag,osm_id,parking_display_name,capacity_segment,operating_hours_label
11,LOT-0011,Parliament Visitor Parking,1,1,28.616201,77.210017,Surface Lot,Paved,161,65.0,,False,06:00:00,22:00:00,False,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/node/943245928,2026-08-16,Medium,943245928,Parliament Visitor Parking,Q3 Large,06:00-22:00
12,LOT-0012,OSM Parking way-454517227,2,2,28.547734,77.253097,Basement,Paved,128,65.0,5100.0,False,06:00:00,00:00:00,True,False,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/454517227,2026-08-16,Fallback,454517227,Basement · Nehru Place #12,Q2 Medium,06:00-00:00
13,LOT-0013,OSM Parking way-1298783157,2,9,28.547711,77.252795,Multi-Level (MLCP),Paved,499,60.0,4700.0,True,,,True,True,False,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1298783157,2026-08-16,Fallback,1298783157,Multi-Level (MLCP) · Nehru Place #13,Q4 Very Large,24 hours
14,LOT-0014,OSM Parking way-1265773839,2,10,28.54792,77.251266,Basement,Paved,269,45.0,4100.0,False,06:00:00,00:00:00,True,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1265773839,2026-08-16,Fallback,1265773839,Basement · Nehru Place #14,Q3 Large,06:00-00:00
15,LOT-0015,Eros,2,10,28.549573,77.251974,Multi-Level (MLCP),Paved,418,50.0,,True,,,True,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/40791008,2026-08-16,Medium,40791008,Eros,Q4 Very Large,24 hours
16,LOT-0016,OSM Parking way-1265773840,2,11,28.54764,77.250302,Basement,Paved,227,50.0,3500.0,True,,,True,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1265773840,2026-08-16,Fallback,1265773840,Basement · Nehru Place #16,Q3 Large,24 hours
17,LOT-0017,OSM Parking way-1265773838,2,5,28.54925,77.250231,Office Complex,Paved,196,60.0,,False,06:00:00,23:00:00,True,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1265773838,2026-08-16,Fallback,1265773838,Office Complex · Nehru Place #17,Q3 Large,06:00-23:00
18,LOT-0018,OSM Parking node-786590777,2,12,28.549236,77.250041,Office Complex,Paved,316,55.0,5000.0,True,,,False,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/node/786590777,2026-08-16,Fallback,786590777,Office Complex · Nehru Place #18,Q4 Very Large,24 hours
19,LOT-0019,Metro Station Parking,2,7,28.550784,77.250783,Metro Station Parking,Paved,194,65.0,4700.0,True,,,True,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1258245106,2026-08-16,Medium,1258245106,Metro Station Parking,Q3 Large,24 hours
20,LOT-0020,OSM Parking way-454514534,2,13,28.551545,77.25604,Surface Lot,Paved,102,60.0,3800.0,False,06:00:00,23:00:00,False,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/454514534,2026-08-16,Fallback,454514534,Surface Lot · Nehru Place,Q2 Medium,06:00-23:00
21,LOT-0021,OSM Parking way-1426212235,2,14,28.549313,77.258036,Multi-Level (MLCP),Paved,490,75.0,6800.0,False,06:00:00,22:00:00,True,False,False,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1426212235,2026-08-16,Fallback,1426212235,Multi-Level (MLCP) · Nehru Place #21,Q4 Very Large,06:00-22:00
22,LOT-0022,Lotus Temple Parking,2,15,28.552112,77.260688,Multi-Level (MLCP),Paved,364,65.0,5500.0,True,,,True,True,False,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/330783890,2026-08-16,Medium,330783890,Lotus Temple Parking,Q4 Very Large,24 hours
23,LOT-0023,OSM Parking way-239641077,3,14,28.522899,77.208379,Office Complex,Paved,182,50.0,3900.0,False,06:00:00,00:00:00,True,True,False,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/239641077,2026-08-16,Fallback,239641077,Office Complex · Saket #23,Q3 Large,06:00-00:00
24,LOT-0024,OSM Parking way-239641076,3,10,28.523904,77.207994,Surface Lot,Paved,108,40.0,2900.0,False,06:00:00,00:00:00,False,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/239641076,2026-08-16,Fallback,239641076,Surface Lot · Saket #24,Q2 Medium,06:00-00:00
25,LOT-0025,OSM Parking way-150520028,3,16,28.528065,77.211485,Surface Lot,Paved,170,50.0,3500.0,False,06:00:00,22:00:00,False,True,False,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/150520028,2026-08-16,Fallback,150520028,Surface Lot · Saket #25,Q3 Large,06:00-22:00
26,LOT-0026,OSM Parking way-633000310,3,17,28.528432,77.204868,Office Complex,Paved,407,35.0,2600.0,False,06:00:00,00:00:00,True,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/633000310,2026-08-16,Fallback,633000310,Office Complex · Saket #26,Q4 Very Large,06:00-00:00
27,LOT-0027,Religare Parking,3,11,28.526932,77.217169,Office Complex,Paved,247,25.0,1600.0,False,06:00:00,00:00:00,False,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1385357442,2026-08-16,Medium,1385357442,Religare Parking,Q3 Large,06:00-00:00
28,LOT-0028,OSM Parking way-633000303,3,18,28.520536,77.200938,Mall Parking,Paved,181,75.0,,False,06:00:00,22:00:00,True,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/633000303,2026-08-16,Fallback,633000303,Mall Parking · Saket,Q3 Large,06:00-22:00
29,LOT-0029,OSM Parking way-1385319902,3,4,28.529139,77.216437,Surface Lot,Paved,148,70.0,4200.0,True,,,False,True,False,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1385319902,2026-08-16,Fallback,1385319902,Surface Lot · Saket #29,Q2 Medium,24 hours
30,LOT-0030,Salcon Rasvilas Parking,3,6,28.527507,77.219636,Surface Lot,Paved,124,55.0,,False,06:00:00,22:00:00,False,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1385357437,2026-08-16,Medium,1385357437,Salcon Rasvilas Parking,Q2 Medium,06:00-22:00
31,LOT-0031,DLF South Court Parking,3,19,28.52787,77.221047,Office Complex,Paved,377,25.0,2300.0,False,06:00:00,22:00:00,True,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1385325224,2026-08-16,Medium,1385325224,DLF South Court Parking,Q4 Very Large,06:00-22:00
32,LOT-0032,MGF Metropolitan Parking,3,20,28.529653,77.220496,Metro Station Parking,Mixed,206,30.0,1800.0,False,06:00:00,22:00:00,False,False,False,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1385327421,2026-08-16,Medium,1385327421,MGF Metropolitan Parking,Q3 Large,06:00-22:00
33,LOT-0033,OSM Parking way-1534261317,4,21,28.569634,77.039398,Metro Station Parking,Paved,317,35.0,3100.0,True,,,False,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1534261317,2026-08-16,Fallback,1534261317,Metro Station Parking · Dwarka Sector 21 #33,Q4 Very Large,24 hours
34,LOT-0034,OSM Parking way-1305711567,4,22,28.551797,77.057221,Metro Station Parking,Paved,219,35.0,,True,,,False,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1305711567,2026-08-16,Fallback,1305711567,Metro Station Parking · Dwarka Sector 21 #34,Q3 Large,24 hours
35,LOT-0035,OSM Parking node-850627124,4,23,28.573348,77.064789,On-Street Authorised,Paved,41,45.0,,True,,,True,True,False,public_osm,OpenStreetMap,https://www.openstreetmap.org/node/850627124,2026-08-16,Fallback,850627124,On-Street Authorised · Dwarka Sector 21,Q1 Small,24 hours
36,LOT-0036,OSM Parking way-1436470011,5,24,28.650545,77.121922,Basement,Paved,175,40.0,3700.0,False,06:00:00,22:00:00,True,False,False,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1436470011,2026-08-16,Fallback,1436470011,Basement · Rajouri Garden,Q3 Large,06:00-22:00
37,LOT-0037,OSM Parking node-1374470937,5,25,28.64983,77.122504,Surface Lot,Paved,186,50.0,3500.0,False,06:00:00,22:00:00,False,False,False,public_osm,OpenStreetMap,https://www.openstreetmap.org/node/1374470937,2026-08-16,Fallback,1374470937,Surface Lot · Rajouri Garden #37,Q3 Large,06:00-22:00
38,LOT-0038,OSM Parking way-1376710968,5,15,28.655122,77.126499,Surface Lot,Mixed,120,45.0,,False,06:00:00,23:00:00,False,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1376710968,2026-08-16,Fallback,1376710968,Surface Lot · Rajouri Garden #38,Q2 Medium,06:00-23:00
39,LOT-0039,OSM Parking way-1272464500,5,26,28.657679,77.127115,Surface Lot,Paved,59,40.0,3700.0,True,,,False,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1272464500,2026-08-16,Fallback,1272464500,Surface Lot · Rajouri Garden #39,Q1 Small,24 hours
40,LOT-0040,Shamshan Ghat Parking,5,27,28.663625,77.131956,Multi-Level (MLCP),Paved,272,75.0,6400.0,False,06:00:00,23:00:00,False,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1469043769,2026-08-16,Medium,1469043769,Shamshan Ghat Parking,Q4 Very Large,06:00-23:00
41,LOT-0041,OSM Parking way-1386106209,6,28,28.638893,77.208056,Mall Parking,Paved,390,70.0,,False,06:00:00,23:00:00,True,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1386106209,2026-08-16,Fallback,1386106209,Mall Parking · Karol Bagh #41,Q4 Very Large,06:00-23:00
42,LOT-0042,OSM Parking way-1386957479,6,7,28.640232,77.204473,Surface Lot,Paved,105,50.0,4600.0,False,06:00:00,22:00:00,False,True,False,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1386957479,2026-08-16,Fallback,1386957479,Surface Lot · Karol Bagh #42,Q2 Medium,06:00-22:00
43,LOT-0043,OSM Parking way-1386957470,6,4,28.639923,77.204239,Surface Lot,Paved,208,80.0,5900.0,False,06:00:00,23:00:00,False,True,False,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1386957470,2026-08-16,Fallback,1386957470,Surface Lot · Karol Bagh #43,Q3 Large,06:00-23:00
44,LOT-0044,OSM Parking way-1386957481,6,23,28.639514,77.203941,On-Street Authorised,Paved,89,75.0,5500.0,True,,,False,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1386957481,2026-08-16,Fallback,1386957481,On-Street Authorised · Karol Bagh #44,Q1 Small,24 hours
45,LOT-0045,OSM Parking way-80414548,6,29,28.642693,77.218764,Mall Parking,Paved,706,50.0,,True,,,True,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/80414548,2026-08-16,Fallback,80414548,Mall Parking · Karol Bagh #45,Q4 Very Large,24 hours
46,LOT-0046,OSM Parking way-80414532,6,30,28.643627,77.21859,Basement,Paved,289,30.0,2000.0,False,06:00:00,23:00:00,False,True,False,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/80414532,2026-08-16,Fallback,80414532,Basement · Karol Bagh,Q4 Very Large,06:00-23:00
47,LOT-0047,OSM Parking way-1460536295,6,31,28.647281,77.206562,Surface Lot,Paved,103,60.0,4900.0,False,06:00:00,23:00:00,False,True,False,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1460536295,2026-08-16,Fallback,1460536295,Surface Lot · Karol Bagh #47,Q2 Medium,06:00-23:00
48,LOT-0048,OSM Parking way-80418116,6,32,28.642223,77.222625,On-Street Authorised,Paved,36,50.0,3100.0,True,,,True,True,False,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/80418116,2026-08-16,Fallback,80418116,On-Street Authorised · Karol Bagh #48,Q1 Small,24 hours
49,LOT-0049,OSM Parking way-463710736,6,33,28.643614,77.222337,Surface Lot,Paved,101,30.0,2100.0,False,06:00:00,22:00:00,False,False,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/463710736,2026-08-16,Fallback,463710736,Surface Lot · Karol Bagh #49,Q2 Medium,06:00-22:00
50,LOT-0050,OSM Parking way-1289814788,6,20,28.645911,77.201659,On-Street Authorised,Paved,51,45.0,3400.0,True,,,False,True,False,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1289814788,2026-08-16,Fallback,1289814788,On-Street Authorised · Karol Bagh #50,Q1 Small,24 hours
51,LOT-0051,OSM Parking way-1384231629,7,17,28.566151,77.251302,Surface Lot,Mixed,75,45.0,,False,06:00:00,22:00:00,False,True,False,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1384231629,2026-08-16,Fallback,1384231629,Surface Lot · Lajpat Nagar #51,Q1 Small,06:00-22:00
52,LOT-0052,MCD Parking,7,5,28.566786,77.245188,Multi-Level (MLCP),Paved,347,40.0,2400.0,False,06:00:00,23:00:00,True,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/relation/18094428,2026-08-16,Medium,18094428,MCD Parking,Q4 Very Large,06:00-23:00
53,LOT-0053,OSM Parking way-202800243,7,34,28.588553,77.256193,Mall Parking,Paved,218,50.0,,False,06:00:00,23:00:00,True,False,False,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/202800243,2026-08-16,Fallback,202800243,Mall Parking · Lajpat Nagar #53,Q3 Large,06:00-23:00
54,LOT-0054,OSM Parking way-1297324904,7,22,28.590681,77.260308,On-Street Authorised,Paved,65,45.0,4000.0,True,,,False,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1297324904,2026-08-16,Fallback,1297324904,On-Street Authorised · Lajpat Nagar,Q1 Small,24 hours
55,LOT-0055,OSM Parking way-1270655678,7,18,28.567057,77.239927,Mall Parking,Paved,238,45.0,,False,06:00:00,23:00:00,True,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1270655678,2026-08-16,Fallback,1270655678,Mall Parking · Lajpat Nagar #55,Q3 Large,06:00-23:00
56,LOT-0056,OSM Parking way-1200970626,7,35,28.591238,77.255505,Surface Lot,Paved,220,30.0,2700.0,False,06:00:00,23:00:00,False,True,False,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1200970626,2026-08-16,Fallback,1200970626,Surface Lot · Lajpat Nagar #56,Q3 Large,06:00-23:00
57,LOT-0057,OSM Parking way-982896113,8,36,28.525054,77.149512,On-Street Authorised,Paved,87,40.0,3100.0,True,,,False,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/982896113,2026-08-16,Fallback,982896113,On-Street Authorised · Vasant Kunj #57,Q1 Small,24 hours
58,LOT-0058,OSM Parking way-982729144,8,22,28.524786,77.14875,On-Street Authorised,Paved,39,20.0,1700.0,False,06:00:00,22:00:00,False,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/982729144,2026-08-16,Fallback,982729144,On-Street Authorised · Vasant Kunj #58,Q1 Small,06:00-22:00
59,LOT-0059,OSM Parking node-449455817,8,37,28.538967,77.152919,Surface Lot,Paved,220,30.0,1800.0,False,06:00:00,23:00:00,False,False,False,public_osm,OpenStreetMap,https://www.openstreetmap.org/node/449455817,2026-08-16,Fallback,449455817,Surface Lot · Vasant Kunj,Q3 Large,06:00-23:00
60,LOT-0060,OSM Parking way-962692147,8,38,28.513709,77.168472,On-Street Authorised,Paved,97,35.0,3000.0,False,06:00:00,23:00:00,False,False,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/962692147,2026-08-16,Fallback,962692147,On-Street Authorised · Vasant Kunj #60,Q2 Medium,06:00-23:00
61,LOT-0061,IIMC parking,8,27,28.539794,77.17454,Basement,Mixed,157,25.0,,True,,,True,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/node/14055619230,2026-08-16,Medium,14055619230,IIMC parking,Q3 Large,24 hours
62,LOT-0062,OSM Parking way-251320382,9,39,28.497957,77.092507,Surface Lot,Mixed,91,75.0,,False,06:00:00,00:00:00,True,False,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/251320382,2026-08-16,Fallback,251320382,Surface Lot · DLF Cyber City #62,Q1 Small,06:00-00:00
63,LOT-0063,OSM Parking way-1106809494,9,40,28.49863,77.091968,Surface Lot,Paved,220,85.0,,False,06:00:00,22:00:00,False,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1106809494,2026-08-16,Fallback,1106809494,Surface Lot · DLF Cyber City #63,Q3 Large,06:00-22:00
64,LOT-0064,OSM Parking way-151988184,9,41,28.49683,77.090274,Surface Lot,Paved,126,60.0,4100.0,False,06:00:00,22:00:00,False,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/151988184,2026-08-16,Fallback,151988184,Surface Lot · DLF Cyber City #64,Q2 Medium,06:00-22:00
65,LOT-0065,OSM Parking way-692610360,9,42,28.496929,77.089087,Multi-Level (MLCP),Paved,246,45.0,3000.0,False,06:00:00,22:00:00,True,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/692610360,2026-08-16,Fallback,692610360,Multi-Level (MLCP) · DLF Cyber City #65,Q3 Large,06:00-22:00
66,LOT-0066,OSM Parking way-1418601779,9,27,28.500953,77.092486,Surface Lot,Paved,150,40.0,,False,06:00:00,23:00:00,False,True,False,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1418601779,2026-08-16,Fallback,1418601779,Surface Lot · DLF Cyber City #66,Q3 Large,06:00-23:00
67,LOT-0067,OSM Parking way-692610367,9,14,28.495467,77.087844,Office Complex,Mixed,278,45.0,2900.0,False,06:00:00,23:00:00,False,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/692610367,2026-08-16,Fallback,692610367,Office Complex · DLF Cyber City #67,Q4 Very Large,06:00-23:00
68,LOT-0068,OSM Parking way-1093273472,9,43,28.492429,77.089216,Office Complex,Paved,367,45.0,,True,,,True,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1093273472,2026-08-16,Fallback,1093273472,Office Complex · DLF Cyber City #68,Q4 Very Large,24 hours
69,LOT-0069,OSM Parking way-1093273543,9,44,28.490245,77.091517,Surface Lot,Paved,80,65.0,4700.0,False,06:00:00,00:00:00,False,True,False,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1093273543,2026-08-16,Fallback,1093273543,Surface Lot · DLF Cyber City #69,Q1 Small,06:00-00:00
70,LOT-0070,DLF Downtown Multi Level Car Parking (MLCP),9,45,28.504321,77.095789,Surface Lot,Paved,59,40.0,3700.0,False,06:00:00,23:00:00,False,True,False,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1234518413,2026-08-16,Medium,1234518413,DLF Downtown Multi Level Car Parking (MLCP),Q1 Small,06:00-23:00
71,LOT-0071,OSM Parking way-1093273545,9,25,28.488672,77.092868,Multi-Level (MLCP),Paved,362,50.0,,True,,,True,False,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1093273545,2026-08-16,Fallback,1093273545,Multi-Level (MLCP) · DLF Cyber City #71,Q4 Very Large,24 hours
72,LOT-0072,OSM Parking way-224348146,10,2,28.465951,77.065711,Office Complex,Paved,334,50.0,4400.0,True,,,True,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/224348146,2026-08-16,Fallback,224348146,Office Complex · Sector 29 Gurugram #72,Q4 Very Large,24 hours
73,LOT-0073,OSM Parking way-475681096,10,46,28.464475,77.070826,Basement,Paved,131,45.0,3000.0,False,06:00:00,22:00:00,True,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/475681096,2026-08-16,Fallback,475681096,Basement · Sector 29 Gurugram,Q2 Medium,06:00-22:00
74,LOT-0074,OSM Parking way-24501706,10,47,28.470819,77.065183,Mall Parking,Paved,386,25.0,,False,06:00:00,23:00:00,True,True,False,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/24501706,2026-08-16,Fallback,24501706,Mall Parking · Sector 29 Gurugram,Q4 Very Large,06:00-23:00
75,LOT-0075,OSM Parking way-1217765675,10,43,28.469983,77.070704,Office Complex,Paved,490,65.0,4600.0,False,06:00:00,23:00:00,True,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1217765675,2026-08-16,Fallback,1217765675,Office Complex · Sector 29 Gurugram #75,Q4 Very Large,06:00-23:00
76,LOT-0076,OSM Parking way-1451095896,10,32,28.471549,77.071909,On-Street Authorised,Paved,61,30.0,,False,06:00:00,22:00:00,False,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1451095896,2026-08-16,Fallback,1451095896,On-Street Authorised · Sector 29 Gurugram #76,Q1 Small,06:00-22:00
77,LOT-0077,Metro Car Parking,10,21,28.460221,77.073437,Metro Station Parking,Paved,136,50.0,4700.0,True,,,False,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/688671966,2026-08-16,Medium,688671966,Metro Car Parking,Q2 Medium,24 hours
78,LOT-0078,OSM Parking node-297255245,10,48,28.459162,77.076429,On-Street Authorised,Paved,58,45.0,4000.0,True,,,True,False,False,public_osm,OpenStreetMap,https://www.openstreetmap.org/node/297255245,2026-08-16,Fallback,297255245,On-Street Authorised · Sector 29 Gurugram #78,Q1 Small,24 hours
79,LOT-0079,OSM Parking node-728709435,10,36,28.467405,77.080609,On-Street Authorised,Paved,27,30.0,2900.0,True,,,False,True,False,public_osm,OpenStreetMap,https://www.openstreetmap.org/node/728709435,2026-08-16,Fallback,728709435,On-Street Authorised · Sector 29 Gurugram #79,Q1 Small,24 hours
80,LOT-0080,OSM Parking way-24636762,10,41,28.478256,77.061201,Surface Lot,Paved,114,35.0,2900.0,True,,,True,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/24636762,2026-08-16,Fallback,24636762,Surface Lot · Sector 29 Gurugram #80,Q2 Medium,24 hours
81,LOT-0081,OSM Parking way-1305530431,10,49,28.460239,77.079195,Surface Lot,Paved,75,40.0,,False,06:00:00,22:00:00,False,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1305530431,2026-08-16,Fallback,1305530431,Surface Lot · Sector 29 Gurugram #81,Q1 Small,06:00-22:00
82,LOT-0082,OSM Parking way-1443588429,11,50,28.466435,77.094199,Surface Lot,Paved,61,45.0,3900.0,False,06:00:00,23:00:00,False,False,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1443588429,2026-08-16,Fallback,1443588429,Surface Lot · Golf Course Road #82,Q1 Small,06:00-23:00
83,LOT-0083,OSM Parking way-1433732982,11,12,28.473884,77.09356,Basement,Paved,244,70.0,4500.0,False,06:00:00,00:00:00,True,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1433732982,2026-08-16,Fallback,1433732982,Basement · Golf Course Road,Q3 Large,06:00-00:00
84,LOT-0084,OSM Parking way-1313204367,11,51,28.453381,77.106641,Multi-Level (MLCP),Paved,643,50.0,4400.0,False,06:00:00,23:00:00,True,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1313204367,2026-08-16,Fallback,1313204367,Multi-Level (MLCP) · Golf Course Road,Q4 Very Large,06:00-23:00
85,LOT-0085,OSM Parking way-1435149349,11,17,28.448018,77.099341,Surface Lot,Mixed,117,50.0,4600.0,False,06:00:00,23:00:00,False,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1435149349,2026-08-16,Fallback,1435149349,Surface Lot · Golf Course Road #85,Q2 Medium,06:00-23:00
86,LOT-0086,OSM Parking way-144272815,11,19,28.479445,77.102068,Surface Lot,Paved,69,70.0,,False,06:00:00,23:00:00,False,False,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/144272815,2026-08-16,Fallback,144272815,Surface Lot · Golf Course Road #86,Q1 Small,06:00-23:00
87,LOT-0087,OSM Parking way-152002367,12,10,28.492194,77.080135,Multi-Level (MLCP),Paved,504,40.0,3000.0,False,06:00:00,22:00:00,True,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/152002367,2026-08-16,Fallback,152002367,Multi-Level (MLCP) · Udyog Vihar,Q4 Very Large,06:00-22:00
88,LOT-0088,OSM Parking way-226082166,12,40,28.492079,77.084374,Office Complex,Paved,296,40.0,2600.0,False,06:00:00,23:00:00,True,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/226082166,2026-08-16,Fallback,226082166,Office Complex · Udyog Vihar #88,Q4 Very Large,06:00-23:00
